Year,Province,Attribute,Commodity,Value,Unit,Source_file
2008,Cả Nước,Sản lượng,Lúa mùa,9007.2,Nghìn tấn,24.csv
2008,Đồng bằng sông Hồng,Sản lượng,Lúa mùa,3180.5,Nghìn tấn,24.csv
2008,Hà Nội,Sản lượng,Lúa mùa,572.8,Nghìn tấn,24.csv
2008,Vĩnh Phúc,Sản lượng,Lúa mùa,136.3,Nghìn tấn,24.csv
2008,Bắc Ninh,Sản lượng,Lúa mùa,199.0,Nghìn tấn,24.csv
2008,Quảng Ninh,Sản lượng,Lúa mùa,117.9,Nghìn tấn,24.csv
2008,Hải Dương,Sản lượng,Lúa mùa,344.4,Nghìn tấn,24.csv
2008,Hải Phòng,Sản lượng,Lúa mùa,221.6,Nghìn tấn,24.csv
2008,Hưng Yên,Sản lượng,Lúa mùa,249.2,Nghìn tấn,24.csv
2008,Thái Bình,Sản lượng,Lúa mùa,515.8,Nghìn tấn,24.csv
2008,Hà Nam,Sản lượng,Lúa mùa,202.1,Nghìn tấn,24.csv
2008,Nam Định,Sản lượng,Lúa mùa,409.6,Nghìn tấn,24.csv
2008,Ninh Bình,Sản lượng,Lúa mùa,211.8,Nghìn tấn,24.csv
2008,Trung du và miền núi phía Bắc,Sản lượng,Lúa mùa,1708.7,Nghìn tấn,24.csv
2008,Hà Giang,Sản lượng,Lúa mùa,123.0,Nghìn tấn,24.csv
2008,Cao Bằng,Sản lượng,Lúa mùa,105.8,Nghìn tấn,24.csv
2008,Bắc Kạn,Sản lượng,Lúa mùa,61.0,Nghìn tấn,24.csv
2008,Tuyên Quang,Sản lượng,Lúa mùa,146.7,Nghìn tấn,24.csv
2008,Lào Cai,Sản lượng,Lúa mùa,71.8,Nghìn tấn,24.csv
2008,Yên Bái,Sản lượng,Lúa mùa,88.1,Nghìn tấn,24.csv
2008,Thái Nguyên,Sản lượng,Lúa mùa,195.5,Nghìn tấn,24.csv
2008,Lạng Sơn,Sản lượng,Lúa mùa,118.9,Nghìn tấn,24.csv
2008,Bắc Giang,Sản lượng,Lúa mùa,254.6,Nghìn tấn,24.csv
2008,Phú Thọ,Sản lượng,Lúa mùa,151.5,Nghìn tấn,24.csv
2008,Điện Biên,Sản lượng,Lúa mùa,94.7,Nghìn tấn,24.csv
2008,Lai Châu,Sản lượng,Lúa mùa,78.7,Nghìn tấn,24.csv
2008,Sơn La,Sản lượng,Lúa mùa,96.4,Nghìn tấn,24.csv
2008,Hòa Bình,Sản lượng,Lúa mùa,122.0,Nghìn tấn,24.csv
2008,Bắc Trung Bộ và Duyên hải miền Trung,Sản lượng,Lúa mùa,1449.9,Nghìn tấn,24.csv
2008,Thanh Hóa,Sản lượng,Lúa mùa,692.8,Nghìn tấn,24.csv
2008,Nghệ An,Sản lượng,Lúa mùa,124.4,Nghìn tấn,24.csv
2008,Hà Tĩnh,Sản lượng,Lúa mùa,14.4,Nghìn tấn,24.csv
2008,Quảng Bình,Sản lượng,Lúa mùa,2.4,Nghìn tấn,24.csv
2008,Quảng Trị,Sản lượng,Lúa mùa,7.3,Nghìn tấn,24.csv
2008,Thừa Thiên Huế,Sản lượng,Lúa mùa,1.1,Nghìn tấn,24.csv
2008,Đà Nẵng,Sản lượng,Lúa mùa,21.8,Nghìn tấn,24.csv
2008,Quảng Nam,Sản lượng,Lúa mùa,207.8,Nghìn tấn,24.csv
2008,Quảng Ngãi,Sản lượng,Lúa mùa,16.8,Nghìn tấn,24.csv
2008,Bình Định,Sản lượng,Lúa mùa,119.0,Nghìn tấn,24.csv
2008,Phú Yên,Sản lượng,Lúa mùa,20.4,Nghìn tấn,24.csv
2008,Khánh Hòa,Sản lượng,Lúa mùa,17.0,Nghìn tấn,24.csv
2008,Ninh Thuận,Sản lượng,Lúa mùa,56.1,Nghìn tấn,24.csv
2008,Bình Thuận,Sản lượng,Lúa mùa,148.6,Nghìn tấn,24.csv
2008,Tây Nguyên,Sản lượng,Lúa mùa,549.0,Nghìn tấn,24.csv
2008,Kon Tum,Sản lượng,Lúa mùa,48.3,Nghìn tấn,24.csv
2008,Gia Lai,Sản lượng,Lúa mùa,166.9,Nghìn tấn,24.csv
2008,Đắk Lắk,Sản lượng,Lúa mùa,230.3,Nghìn tấn,24.csv
2008,Đắk Nông,Sản lượng,Lúa mùa,30.1,Nghìn tấn,24.csv
2008,Lâm Đồng,Sản lượng,Lúa mùa,73.4,Nghìn tấn,24.csv
2008,Đông Nam Bộ,Sản lượng,Lúa mùa,535.9,Nghìn tấn,24.csv
2008,Bình Phước,Sản lượng,Lúa mùa,31.8,Nghìn tấn,24.csv
2008,Tây Ninh,Sản lượng,Lúa mùa,258.3,Nghìn tấn,24.csv
2008,Bình Dương,Sản lượng,Lúa mùa,19.6,Nghìn tấn,24.csv
2008,Đồng Nai,Sản lượng,Lúa mùa,132.1,Nghìn tấn,24.csv
2008,Bà Rịa - Vũng Tàu,Sản lượng,Lúa mùa,41.7,Nghìn tấn,24.csv
2008,TP.Hồ Chí Minh,Sản lượng,Lúa mùa,52.4,Nghìn tấn,24.csv
2008,Đồng bằng sông Cửu Long,Sản lượng,Lúa mùa,1583.2,Nghìn tấn,24.csv
2008,Long An,Sản lượng,Lúa mùa,46.8,Nghìn tấn,24.csv
2008,Bến Tre,Sản lượng,Lúa mùa,139.4,Nghìn tấn,24.csv
2008,Trà Vinh,Sản lượng,Lúa mùa,395.8,Nghìn tấn,24.csv
2008,An Giang,Sản lượng,Lúa mùa,31.0,Nghìn tấn,24.csv
2008,Kiên Giang,Sản lượng,Lúa mùa,236.0,Nghìn tấn,24.csv
2008,Sóc Trăng,Sản lượng,Lúa mùa,95.3,Nghìn tấn,24.csv
2008,Bạc Liêu,Sản lượng,Lúa mùa,297.1,Nghìn tấn,24.csv
2008,Cà Mau,Sản lượng,Lúa mùa,341.8,Nghìn tấn,24.csv
2009,Cả Nước,Sản lượng,Lúa mùa,9042.2,Nghìn tấn,24.csv
2009,Đồng bằng sông Hồng,Sản lượng,Lúa mùa,3175.8,Nghìn tấn,24.csv
2009,Hà Nội,Sản lượng,Lúa mùa,552.7,Nghìn tấn,24.csv
2009,Vĩnh Phúc,Sản lượng,Lúa mùa,147.4,Nghìn tấn,24.csv
2009,Bắc Ninh,Sản lượng,Lúa mùa,205.5,Nghìn tấn,24.csv
2009,Quảng Ninh,Sản lượng,Lúa mùa,115.2,Nghìn tấn,24.csv
