DisNo.,Disaster Group,Disaster Type,Event Name,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,Total Affected,Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",Corrected province
2000-0361-VNM,Natural,Storm,,,,2000,6.0,12.0,2000,6.0,12.0,3.0,129.0,,,,,
2000-0408-VNM,Natural,Flood,,,,2000,7.0,,2000,11.0,,460.0,5000004.0,,,250000.0,424876.0,
2000-0408-VNM,Natural,Flood,,,,2000,7.0,,2000,11.0,,460.0,5000004.0,,,250000.0,424876.0,Kiên Giang
2000-0408-VNM,Natural,Flood,,,,2000,7.0,,2000,11.0,,460.0,5000004.0,,,250000.0,424876.0,Long An
2000-0408-VNM,Natural,Flood,,,,2000,7.0,,2000,11.0,,460.0,5000004.0,,,250000.0,424876.0,Vĩnh Long
2000-0408-VNM,Natural,Flood,,,,2000,7.0,,2000,11.0,,460.0,5000004.0,,,250000.0,424876.0,An Giang
2000-0408-VNM,Natural,Flood,,,,2000,7.0,,2000,11.0,,460.0,5000004.0,,,250000.0,424876.0,
2000-0408-VNM,Natural,Flood,,,,2000,7.0,,2000,11.0,,460.0,5000004.0,,,250000.0,424876.0,Tiền Giang
2000-0448-VNM,Natural,Storm,,,,2000,7.0,10.0,2000,7.0,10.0,,2005.0,,,,,
2000-0518-VNM,Natural,Storm,Kaemi,,,2000,8.0,20.0,2000,8.0,20.0,15.0,4.0,,,5000.0,8498.0,
2000-0518-VNM,Natural,Storm,Kaemi,,,2000,8.0,20.0,2000,8.0,20.0,15.0,4.0,,,5000.0,8498.0,Quảng Ninh
2000-0518-VNM,Natural,Storm,Kaemi,,,2000,8.0,20.0,2000,8.0,20.0,15.0,4.0,,,5000.0,8498.0,
2000-0518-VNM,Natural,Storm,Kaemi,,,2000,8.0,20.0,2000,8.0,20.0,15.0,4.0,,,5000.0,8498.0,
2000-0518-VNM,Natural,Storm,Kaemi,,,2000,8.0,20.0,2000,8.0,20.0,15.0,4.0,,,5000.0,8498.0,Quảng Ngãi
2000-0518-VNM,Natural,Storm,Kaemi,,,2000,8.0,20.0,2000,8.0,20.0,15.0,4.0,,,5000.0,8498.0,Quảng Nam
2000-0518-VNM,Natural,Storm,Kaemi,,,2000,8.0,20.0,2000,8.0,20.0,15.0,4.0,,,5000.0,8498.0,
2000-0540-VNM,Natural,Storm,,,,2000,8.0,24.0,2000,8.0,24.0,,5730.0,,,,,
2000-0540-VNM,Natural,Storm,,,,2000,8.0,24.0,2000,8.0,24.0,,5730.0,,,,,
2000-0541-VNM,Natural,Storm,,,,2000,8.0,24.0,2000,8.0,24.0,,503.0,,,35.0,59.0,
2000-0542-VNM,Natural,Storm,,,,2000,8.0,24.0,2000,8.0,24.0,,134.0,,,,,
2000-0582-VNM,Natural,Storm,Wukong,,,2000,9.0,10.0,2000,9.0,10.0,5.0,6029.0,,,21000.0,35690.0,
2000-0582-VNM,Natural,Storm,Wukong,,,2000,9.0,10.0,2000,9.0,10.0,5.0,6029.0,,,21000.0,35690.0,Thanh Hóa
2000-0582-VNM,Natural,Storm,Wukong,,,2000,9.0,10.0,2000,9.0,10.0,5.0,6029.0,,,21000.0,35690.0,
2000-0748-VNM,Natural,Flood,,,,2000,11.0,18.0,2000,11.0,26.0,36.0,25003.0,,,15000.0,25493.0,Ninh Thuận
2000-0748-VNM,Natural,Flood,,,,2000,11.0,18.0,2000,11.0,26.0,36.0,25003.0,,,15000.0,25493.0,Ninh Thuận
2000-0748-VNM,Natural,Flood,,,,2000,11.0,18.0,2000,11.0,26.0,36.0,25003.0,,,15000.0,25493.0,Quảng Ngãi
2000-0748-VNM,Natural,Flood,,,,2000,11.0,18.0,2000,11.0,26.0,36.0,25003.0,,,15000.0,25493.0,
2000-0748-VNM,Natural,Flood,,,,2000,11.0,18.0,2000,11.0,26.0,36.0,25003.0,,,15000.0,25493.0,
2000-0748-VNM,Natural,Flood,,,,2000,11.0,18.0,2000,11.0,26.0,36.0,25003.0,,,15000.0,25493.0,
2000-0748-VNM,Natural,Flood,,,,2000,11.0,18.0,2000,11.0,26.0,36.0,25003.0,,,15000.0,25493.0,
2000-0748-VNM,Natural,Flood,,,,2000,11.0,18.0,2000,11.0,26.0,36.0,25003.0,,,15000.0,25493.0,Quảng Nam
2000-0748-VNM,Natural,Flood,,,,2000,11.0,18.0,2000,11.0,26.0,36.0,25003.0,,,15000.0,25493.0,
2001-0318-VNM,Natural,Storm,Durian,,,2001,7.0,4.0,2001,7.0,4.0,30.0,117453.0,,,25000.0,41320.0,
2001-0318-VNM,Natural,Storm,Durian,,,2001,7.0,4.0,2001,7.0,4.0,30.0,117453.0,,,25000.0,41320.0,Thái Nguyên
2001-0318-VNM,Natural,Storm,Durian,,,2001,7.0,4.0,2001,7.0,4.0,30.0,117453.0,,,25000.0,41320.0,Tuyên Quang
2001-0361-VNM,Natural,Flood,,,,2001,6.0,30.0,2001,6.0,30.0,9.0,175.0,,,,,
2001-0361-VNM,Natural,Flood,,,,2001,6.0,30.0,2001,6.0,30.0,9.0,175.0,,,,,
2001-0361-VNM,Natural,Flood,,,,2001,6.0,30.0,2001,6.0,30.0,9.0,175.0,,,,,
2001-0436-VNM,Natural,Storm,Usagi,,,2001,8.0,11.0,2001,8.0,11.0,3.0,10003.0,,,3200.0,5289.0,Thanh Hóa
2001-0436-VNM,Natural,Storm,Usagi,,,2001,8.0,11.0,2001,8.0,11.0,3.0,10003.0,,,3200.0,5289.0,Nghệ An
2001-0436-VNM,Natural,Storm,Usagi,,,2001,8.0,11.0,2001,8.0,11.0,3.0,10003.0,,,3200.0,5289.0,Quảng Ninh
2001-0436-VNM,Natural,Storm,Usagi,,,2001,8.0,11.0,2001,8.0,11.0,3.0,10003.0,,,3200.0,5289.0,
2001-0492-VNM,Natural,Flood,,,,2001,8.0,15.0,2001,11.0,19.0,310.0,1570270.0,,,84000.0,138835.0,
2001-0492-VNM,Natural,Flood,,,,2001,8.0,15.0,2001,11.0,19.0,310.0,1570270.0,,,84000.0,138835.0,
2001-0492-VNM,Natural,Flood,,,,2001,8.0,15.0,2001,11.0,19.0,310.0,1570270.0,,,84000.0,138835.0,Kiên Giang
2001-0492-VNM,Natural,Flood,,,,2001,8.0,15.0,2001,11.0,19.0,310.0,1570270.0,,,84000.0,138835.0,Long An
2001-0492-VNM,Natural,Flood,,,,2001,8.0,15.0,2001,11.0,19.0,310.0,1570270.0,,,84000.0,138835.0,Vĩnh Long
2001-0492-VNM,Natural,Flood,,,,2001,8.0,15.0,2001,11.0,19.0,310.0,1570270.0,,,84000.0,138835.0,
2001-0492-VNM,Natural,Flood,,,,2001,8.0,15.0,2001,11.0,19.0,310.0,1570270.0,,,84000.0,138835.0,An Giang
2001-0492-VNM,Natural,Flood,,,,2001,8.0,15.0,2001,11.0,19.0,310.0,1570270.0,,,84000.0,138835.0,
2001-0492-VNM,Natural,Flood,,,,2001,8.0,15.0,2001,11.0,19.0,310.0,1570270.0,,,84000.0,138835.0,Trà Vinh
2001-0492-VNM,Natural,Flood,,,,2001,8.0,15.0,2001,11.0,19.0,310.0,1570270.0,,,84000.0,138835.0,Bến Tre
2001-0492-VNM,Natural,Flood,,,,2001,8.0,15.0,2001,11.0,19.0,310.0,1570270.0,,,84000.0,138835.0,Tiền Giang
2001-0587-VNM,Natural,Flood,,,,2001,10.0,20.0,2001,10.0,24.0,20.0,35006.0,,,4700.0,7768.0,
2001-0587-VNM,Natural,Flood,,,,2001,10.0,20.0,2001,10.0,24.0,20.0,35006.0,,,4700.0,7768.0,
2001-0587-VNM,Natural,Flood,,,,2001,10.0,20.0,2001,10.0,24.0,20.0,35006.0,,,4700.0,7768.0,
2001-0587-VNM,Natural,Flood,,,,2001,10.0,20.0,2001,10.0,24.0,20.0,35006.0,,,4700.0,7768.0,Nghệ An
2001-0587-VNM,Natural,Flood,,,,2001,10.0,20.0,2001,10.0,24.0,20.0,35006.0,,,4700.0,7768.0,Quảng Ngãi
