Province,Year,T2M_mean,T2M_std,T2M_max,T2M_min,T2M_MAX_max,T2M_MIN_min,RH2M_mean,RH2M_std,CLOUD_AMT_mean,PRECTOTCORR_sum,PRECTOTCORR_max,PRECTOTCORR_std,GWETPROF_mean,CLRSKY_SFC_SW_DWN_mean,hot_day_sum,cold_day_sum,rainy_day_sum,heavy_rain_sum,dry_day_sum,GDD_sum,rain_intensity,dry_ratio,hot_ratio,PRECTOTCORR_sum_lag1,T2M_mean_lag1,GDD_sum_lag1,Commodity,Yield,Elevation,Landcover,Lat,Lon,Ndvi_mean,Soil_clay,Soil_ph,Soil_sand,Soil_soc
Quảng Trị,2008,24.12775956284153,3.651947036646333,29.44,15.01,35.16,13.42,85.65243169398907,4.862966492971119,78.59185792349726,2150.08,89.41,13.414527258330365,0.7794808743169399,22.997322404371587,1,0,181,33,32,5170.76,11.813626373626374,0.0876712328767123,0.0027397260273972,0.0,0.0,0.0,Ngô,2.0789473684210527,1.0,80,16.75,107.1833,0.3368617391304347,28,5.4,41,0.6
Bình Phước,2017,27.265616438356165,2.04174105992239,32.89,19.29,41.7,15.61,77.59106849315069,12.348112913984274,80.0222191780822,1261.58,45.24,6.113985414987029,0.6985205479452055,24.02512328767123,81,0,165,10,59,6301.95,7.599879518072289,0.1616438356164383,0.2219178082191781,1158.7,28.242322404371585,6676.69,Khoai lang,4.571428571428571,109.0,10,11.7332,106.9062,0.7159101449275362,34,5.1,43,0.4
Sóc Trăng,2014,27.546575342465754,1.8455487131709705,32.57,22.89,39.67,17.76,78.08756164383561,9.819708363021212,71.3614794520548,1294.39,42.64,6.27096859086297,0.7325753424657534,23.86372602739726,58,0,167,12,111,6404.5,7.704702380952382,0.3041095890410959,0.1589041095890411,1474.43,27.31290410958904,6319.21,Lúa hè thu,5.99375,-1.0,40,9.5664,105.8764,0.5491060869565217,32,6.1,34,0.6
Thái Nguyên,2019,23.766164383561645,5.044291145415477,30.95,8.17,36.75,3.83,84.24260273972602,6.003055638451493,80.95567123287671,1706.61,88.24,9.374712270119211,0.8282465753424657,21.41495890410959,11,19,182,15,58,5026.48,9.325737704918032,0.1589041095890411,0.0301369863013698,1919.11,23.028767123287672,4767.74,Lúa,5.487874465049929,31.0,50,21.5939,105.8482,0.3295308139534884,32,6.1,41,0.2
Đắk Nông,2009,24.53553424657534,1.7696752828283564,28.68,18.22,37.4,12.9,74.92901369863014,11.461572687684995,71.90731506849315,805.09,48.96,4.305132935817717,0.6533972602739726,24.30268493150685,23,0,145,3,102,5305.47,5.514315068493151,0.2794520547945205,0.0630136986301369,930.59,24.368715846994537,5258.95,Lúa đông xuân,5.904761904761905,601.0,10,12.0,107.6833,0.4546028985507246,37,6.0,35,0.4
Bà Rịa - Vũng Tàu,2023,27.763013698630136,1.3433855919701267,32.23,23.91,37.69,19.8,80.88027397260274,8.205414550570323,71.70317808219178,1686.48,42.36,6.912046402507725,0.7497808219178083,23.944986301369863,24,0,208,19,57,6483.5,8.069282296650718,0.1561643835616438,0.0657534246575342,1916.04,27.269397260273973,6303.33,Mía,47.12643678160919,7.0,50,10.4114,107.1358,0.3226844574780059,34,6.1,40,1.2
Lâm Đồng,2012,25.854344262295083,1.386455016953483,30.03,22.5,38.8,16.81,77.10174863387978,12.072919575267964,77.56273224043716,1234.59,111.42,8.40994361876367,0.5647540983606557,24.19622950819672,35,0,158,11,102,5802.69,7.764716981132075,0.2794520547945205,0.0958904109589041,1162.45,25.378465753424656,5613.14,Lúa hè thu,4.873015873015873,844.0,10,11.5714,107.8091,0.6304655072463768,41,5.4,34,0.4
Sóc Trăng,2023,27.581945205479453,1.3742435670596012,31.88,23.43,37.6,20.32,82.86506849315069,8.081608941662221,79.44986301369863,2432.66,76.66,10.483569629650868,0.8082191780821918,23.73032876712329,40,0,223,32,48,6417.41,10.860089285714285,0.1315068493150684,0.1095890410958904,2495.54,27.07213698630137,6231.33,Khoai lang,14.442013129102843,-1.0,40,9.5664,105.8764,0.5491060869565217,32,6.1,34,0.6
Bắc Giang,2014,22.32476712328767,5.663651383367694,29.52,8.19,35.45,2.09,83.8741095890411,6.734036972277559,76.30794520547946,1411.49,101.25,8.939178601552278,0.7778904109589041,21.045123287671235,1,49,161,15,67,4507.86,8.712901234567902,0.1835616438356164,0.0027397260273972,1962.13,22.137260273972604,4455.13,Sắn,14.543859649122806,14.0,50,21.2731,106.1946,0.2863296511627907,24,6.1,45,0.2
Gia Lai,2023,23.377068493150684,2.349741956424009,28.42,15.68,36.86,11.91,85.98027397260273,6.340734603289131,70.84693150684932,2230.44,55.94,9.820542367353289,0.8557534246575343,23.846931506849312,6,0,236,31,33,4882.63,9.41113924050633,0.0904109589041095,0.0164383561643835,2166.43,22.850767123287675,4690.53,Lúa,5.249347258485639,774.0,50,13.9833,108.0,0.3376347826086956,39,6.0,32,0.4
Thanh Hóa,2018,23.70909589041096,5.031953447620666,30.96,8.99,36.55,5.2,84.41950684931507,6.058447628577971,79.48775342465753,2047.59,75.62,11.035390171472873,0.8105479452054796,22.05419178082192,9,21,200,28,29,5005.68,10.187014925373134,0.0794520547945205,0.0246575342465753,2191.77,23.755835616438358,5020.88,Mía,61.01901686401148,11.0,50,19.8067,105.7767,0.2927501449275362,27,6.2,40,0.2
Hòa Bình,2023,23.89884931506849,5.294066841968629,32.05,9.12,39.74,3.29,82.71334246575343,6.494624303313177,75.39021917808219,1530.59,112.05,9.973452810054702,0.7500547945205479,21.69531506849315,19,32,154,18,58,5074.39,9.874774193548388,0.1589041095890411,0.0520547945205479,2077.19,22.946630136986304,4729.62,Lúa đông xuân,5.903030303030303,28.0,50,20.8172,105.3376,0.2956313953488372,32,6.1,37,0.6
Quảng Ngãi,2009,24.90304109589041,2.7346443027553304,29.6,17.01,36.58,16.11,84.2089589041096,4.899288971843272,66.3953698630137,1705.38,114.95,14.175759569606218,0.7928767123287671,23.252410958904107,7,0,148,20,40,5439.61,11.445503355704696,0.1095890410958904,0.0191780821917808,1653.14,24.629043715846997,5354.23,Lúa hè thu,5.205047318611987,10.0,50,15.12,108.8,0.3424921739130435,32,6.0,42,0.4
Yên Bái,2013,22.93167123287671,5.756553857056985,32.31,8.41,39.05,3.31,80.0228493150685,7.345174359032898,75.578,1938.88,74.82,10.352309085735095,0.7222739726027397,21.61939726027397,26,33,175,32,64,4729.47,11.016363636363636,0.1753424657534246,0.0712328767123287,1552.96,23.36379781420765,4895.77,Sắn,19.23076923076923,41.0,50,21.7229,104.9113,0.3331296511627907,32,5.8,36,0.4
Lâm Đồng,2019,25.623972602739727,1.922380149400148,31.6,20.36,40.57,15.1,78.88728767123288,12.855355942729508,67.19509589041095,1548.31,99.02,10.14221144888591,0.643123287671233,24.25408219178082,65,0,145,19,111,5702.75,10.60486301369863,0.3041095890410959,0.1780821917808219,1479.89,25.785561643835614,5761.73,Lạc,1.2508960573476702,844.0,10,11.5714,107.8091,0.6304655072463768,41,5.4,34,0.4
