Year,Province,Attribute,Commodity,Value,Unit,Level
2008,Cả Nước,Sản lượng,Lúa mùa,9007200.0,tấn,National
2008,Đồng bằng sông Hồng,Sản lượng,Lúa mùa,3180500.0,tấn,Regional
2008,Hà Nội,Sản lượng,Lúa mùa,572800.0,tấn,Province
2008,Vĩnh Phúc,Sản lượng,Lúa mùa,136300.0,tấn,Province
2008,Bắc Ninh,Sản lượng,Lúa mùa,199000.0,tấn,Province
2008,Quảng Ninh,Sản lượng,Lúa mùa,117900.0,tấn,Province
2008,Hải Dương,Sản lượng,Lúa mùa,344400.0,tấn,Province
2008,Hải Phòng,Sản lượng,Lúa mùa,221600.0,tấn,Province
2008,Hưng Yên,Sản lượng,Lúa mùa,249200.0,tấn,Province
2008,Thái Bình,Sản lượng,Lúa mùa,515799.99999999994,tấn,Province
2008,Hà Nam,Sản lượng,Lúa mùa,202100.0,tấn,Province
2008,Nam Định,Sản lượng,Lúa mùa,409600.0,tấn,Province
2008,Ninh Bình,Sản lượng,Lúa mùa,211800.0,tấn,Province
2008,Trung du và miền núi phía Bắc,Sản lượng,Lúa mùa,1708700.0,tấn,Regional
2008,Hà Giang,Sản lượng,Lúa mùa,123000.0,tấn,Province
2008,Cao Bằng,Sản lượng,Lúa mùa,105800.0,tấn,Province
2008,Bắc Kạn,Sản lượng,Lúa mùa,61000.0,tấn,Province
2008,Tuyên Quang,Sản lượng,Lúa mùa,146700.0,tấn,Province
2008,Lào Cai,Sản lượng,Lúa mùa,71800.0,tấn,Province
2008,Yên Bái,Sản lượng,Lúa mùa,88100.0,tấn,Province
2008,Thái Nguyên,Sản lượng,Lúa mùa,195500.0,tấn,Province
2008,Lạng Sơn,Sản lượng,Lúa mùa,118900.0,tấn,Province
2008,Bắc Giang,Sản lượng,Lúa mùa,254600.0,tấn,Province
2008,Phú Thọ,Sản lượng,Lúa mùa,151500.0,tấn,Province
2008,Điện Biên,Sản lượng,Lúa mùa,94700.0,tấn,Province
2008,Lai Châu,Sản lượng,Lúa mùa,78700.0,tấn,Province
2008,Sơn La,Sản lượng,Lúa mùa,96400.0,tấn,Province
2008,Hòa Bình,Sản lượng,Lúa mùa,122000.0,tấn,Province
2008,Bắc Trung Bộ và Duyên hải miền Trung,Sản lượng,Lúa mùa,1449900.0,tấn,Regional
2008,Thanh Hóa,Sản lượng,Lúa mùa,692800.0,tấn,Province
2008,Nghệ An,Sản lượng,Lúa mùa,124400.0,tấn,Province
2008,Hà Tĩnh,Sản lượng,Lúa mùa,14400.0,tấn,Province
2008,Quảng Bình,Sản lượng,Lúa mùa,2400.0,tấn,Province
2008,Quảng Trị,Sản lượng,Lúa mùa,7300.0,tấn,Province
2008,Thừa Thiên Huế,Sản lượng,Lúa mùa,1100.0,tấn,Province
2008,Đà Nẵng,Sản lượng,Lúa mùa,21800.0,tấn,Province
2008,Quảng Nam,Sản lượng,Lúa mùa,207800.0,tấn,Province
2008,Quảng Ngãi,Sản lượng,Lúa mùa,16800.0,tấn,Province
2008,Bình Định,Sản lượng,Lúa mùa,119000.0,tấn,Province
2008,Phú Yên,Sản lượng,Lúa mùa,20400.0,tấn,Province
2008,Khánh Hòa,Sản lượng,Lúa mùa,17000.0,tấn,Province
2008,Ninh Thuận,Sản lượng,Lúa mùa,56100.0,tấn,Province
2008,Bình Thuận,Sản lượng,Lúa mùa,148600.0,tấn,Province
2008,Tây Nguyên,Sản lượng,Lúa mùa,549000.0,tấn,Regional
2008,Kon Tum,Sản lượng,Lúa mùa,48300.0,tấn,Province
2008,Gia Lai,Sản lượng,Lúa mùa,166900.0,tấn,Province
2008,Đắk Lắk,Sản lượng,Lúa mùa,230300.0,tấn,Province
2008,Đắk Nông,Sản lượng,Lúa mùa,30100.0,tấn,Province
2008,Lâm Đồng,Sản lượng,Lúa mùa,73400.0,tấn,Province
2008,Đông Nam Bộ,Sản lượng,Lúa mùa,535900.0,tấn,Regional
2008,Bình Phước,Sản lượng,Lúa mùa,31800.0,tấn,Province
2008,Tây Ninh,Sản lượng,Lúa mùa,258300.0,tấn,Province
2008,Bình Dương,Sản lượng,Lúa mùa,19600.0,tấn,Province
2008,Đồng Nai,Sản lượng,Lúa mùa,132100.0,tấn,Province
2008,Bà Rịa - Vũng Tàu,Sản lượng,Lúa mùa,41700.0,tấn,Province
2008,TP.Hồ Chí Minh,Sản lượng,Lúa mùa,52400.0,tấn,Province
2008,Đồng bằng sông Cửu Long,Sản lượng,Lúa mùa,1583200.0,tấn,Regional
2008,Long An,Sản lượng,Lúa mùa,46800.0,tấn,Province
2008,Bến Tre,Sản lượng,Lúa mùa,139400.0,tấn,Province
2008,Trà Vinh,Sản lượng,Lúa mùa,395800.0,tấn,Province
2008,An Giang,Sản lượng,Lúa mùa,31000.0,tấn,Province
2008,Kiên Giang,Sản lượng,Lúa mùa,236000.0,tấn,Province
2008,Sóc Trăng,Sản lượng,Lúa mùa,95300.0,tấn,Province
2008,Bạc Liêu,Sản lượng,Lúa mùa,297100.0,tấn,Province
2008,Cà Mau,Sản lượng,Lúa mùa,341800.0,tấn,Province
2009,Cả Nước,Sản lượng,Lúa mùa,9042200.0,tấn,National
2009,Đồng bằng sông Hồng,Sản lượng,Lúa mùa,3175800.0,tấn,Regional
2009,Hà Nội,Sản lượng,Lúa mùa,552700.0,tấn,Province
2009,Vĩnh Phúc,Sản lượng,Lúa mùa,147400.0,tấn,Province
2009,Bắc Ninh,Sản lượng,Lúa mùa,205500.0,tấn,Province
2009,Quảng Ninh,Sản lượng,Lúa mùa,115200.0,tấn,Province
2009,Hải Dương,Sản lượng,Lúa mùa,360100.0,tấn,Province
2009,Hải Phòng,Sản lượng,Lúa mùa,236000.0,tấn,Province
2009,Hưng Yên,Sản lượng,Lúa mùa,252000.0,tấn,Province
2009,Thái Bình,Sản lượng,Lúa mùa,520500.0,tấn,Province
2009,Hà Nam,Sản lượng,Lúa mùa,200200.0,tấn,Province
2009,Nam Định,Sản lượng,Lúa mùa,360300.0,tấn,Province
2009,Ninh Bình,Sản lượng,Lúa mùa,225900.0,tấn,Province
2009,Trung du và miền núi phía Bắc,Sản lượng,Lúa mùa,1785700.0,tấn,Regional
2009,Hà Giang,Sản lượng,Lúa mùa,136900.0,tấn,Province
2009,Cao Bằng,Sản lượng,Lúa mùa,99700.0,tấn,Province
2009,Bắc Kạn,Sản lượng,Lúa mùa,60300.0,tấn,Province
2009,Tuyên Quang,Sản lượng,Lúa mùa,146000.0,tấn,Province
2009,Lào Cai,Sản lượng,Lúa mùa,79600.0,tấn,Province
2009,Yên Bái,Sản lượng,Lúa mùa,97300.0,tấn,Province
2009,Thái Nguyên,Sản lượng,Lúa mùa,195700.0,tấn,Province
2009,Lạng Sơn,Sản lượng,Lúa mùa,116600.0,tấn,Province
2009,Bắc Giang,Sản lượng,Lúa mùa,291100.0,tấn,Province
2009,Phú Thọ,Sản lượng,Lúa mùa,165100.0,tấn,Province
2009,Điện Biên,Sản lượng,Lúa mùa,104200.0,tấn,Province
2009,Lai Châu,Sản lượng,Lúa mùa,84100.0,tấn,Province
2009,Sơn La,Sản lượng,Lúa mùa,98000.0,tấn,Province
2009,Hòa Bình,Sản lượng,Lúa mùa,111100.0,tấn,Province
2009,Bắc Trung Bộ và Duyên hải miền Trung,Sản lượng,Lúa mùa,1376000.0,tấn,Regional
2009,Thanh Hóa,Sản lượng,Lúa mùa,722900.0,tấn,Province
2009,Nghệ An,Sản lượng,Lúa mùa,71000.0,tấn,Province
2009,Hà Tĩnh,Sản lượng,Lúa mùa,9200.0,tấn,Province
2009,Quảng Bình,Sản lượng,Lúa mùa,1100.0,tấn,Province
2009,Quảng Trị,Sản lượng,Lúa mùa,2400.0,tấn,Province
2009,Thừa Thiên Huế,Sản lượng,Lúa mùa,1100.0,tấn,Province
2009,Đà Nẵng,Sản lượng,Lúa mùa,18000.0,tấn,Province
2009,Quảng Nam,Sản lượng,Lúa mùa,177800.0,tấn,Province
2009,Quảng Ngãi,Sản lượng,Lúa mùa,7900.0,tấn,Province
2009,Bình Định,Sản lượng,Lúa mùa,87400.0,tấn,Province
2009,Phú Yên,Sản lượng,Lúa mùa,11700.0,tấn,Province
2009,Khánh Hòa,Sản lượng,Lúa mùa,22100.0,tấn,Province
2009,Ninh Thuận,Sản lượng,Lúa mùa,54600.0,tấn,Province
2009,Bình Thuận,Sản lượng,Lúa mùa,188800.0,tấn,Province
2009,Tây Nguyên,Sản lượng,Lúa mùa,559400.0,tấn,Regional
2009,Kon Tum,Sản lượng,Lúa mùa,46500.0,tấn,Province
2009,Gia Lai,Sản lượng,Lúa mùa,159500.0,tấn,Province
2009,Đắk Lắk,Sản lượng,Lúa mùa,241100.0,tấn,Province
