"Sản lượng lương thực có hạt phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",43305.4,43323.4,44632.2,47235.5,48712.6,49231.6,50178.5,50379.5,48360.2,47852.2,48923.4,48230.9,47325.5,48301.0,47085.6,47935.7
"Đồng bằng sông Hồng",7219.5,7105.4,7246.6,7409.8,7285.2,7062.7,7175.2,7168.2,6977.9,6514.0,6686.3,6489.5,6364.2,6335.1,6199.3,6113.2
"Hà Nội",1288.8,1229.2,1237.5,1332.2,1301.9,1256.5,1273.5,1272.0,1206.6,1145.5,1108.6,1047.7,1044.7,1053.3,1024.9,1003.6
"Hà Tây",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",375.0,350.0,388.7,405.5,355.6,373.6,395.6,395.9,361.1,385.8,395.3,365.7,359.0,365.2,325.7,354.0
"Bắc Ninh",450.1,453.7,450.8,480.5,471.9,442.5,457.0,462.3,454.7,427.3,420.7,411.3,411.0,406.9,397.2,380.4
"Quảng Ninh",228.1,226.1,232.8,236.6,239.2,232.9,234.0,235.2,235.4,219.3,229.9,225.8,226.4,223.2,223.3,218.0
"Hải Dương",779.2,792.8,780.3,801.5,800.6,760.8,763.6,761.4,749.0,681.2,725.0,705.2,703.8,720.0,715.4,701.6
"Hải Phòng",485.5,498.4,499.2,498.1,499.1,498.1,491.0,484.0,471.0,442.0,445.7,417.8,381.2,376.5,370.9,364.6
"Hưng Yên",561.7,546.3,563.3,579.4,574.9,548.0,536.6,529.6,504.5,464.6,456.8,435.0,394.0,374.8,356.9,335.1
"Thái Bình",1154.2,1150.7,1153.7,1140.8,1110.1,1098.0,1116.6,1123.4,1120.1,1013.7,1094.1,1083.2,1074.6,1057.0,1045.6,1030.8
"Hà Nam",456.8,448.0,459.2,468.9,469.0,437.5,445.1,452.7,440.0,411.7,423.2,421.0,407.1,401.4,393.7,388.7
"Nam Định",948.1,907.0,972.5,952.6,953.7,932.4,956.3,954.8,943.8,863.7,911.2,905.9,899.9,894.3,889.4,880.9
"Ninh Bình",492.0,503.2,508.6,513.7,509.2,482.4,505.9,496.9,491.7,459.2,475.8,470.9,462.5,462.6,456.3,455.6
"Trung du và miền núi phía Bắc",4448.9,4569.3,4623.5,4900.2,5115.3,5164.9,5232.1,5249.3,5345.2,5236.7,5184.6,5100.8,5108.3,5122.5,5125.0,5072.0
"Hà Giang",279.2,308.0,330.7,357.3,371.7,383.9,386.4,390.2,395.7,397.9,405.2,405.8,414.6,417.7,419.3,411.7
"Cao Bằng",237.5,228.7,242.1,242.1,250.2,257.0,255.1,263.1,262.4,276.5,275.4,278.9,281.4,290.2,299.0,288.1
"Bắc Kạn",152.2,151.9,151.0,162.6,166.2,174.2,176.2,185.1,184.6,176.3,178.1,178.1,180.0,179.9,179.3,169.5
"Tuyên Quang",323.3,324.0,332.5,338.3,327.1,337.6,333.4,347.3,344.7,344.5,340.3,342.7,349.0,347.3,346.0,343.8
"Lào Cai",199.1,220.9,228.0,251.7,259.9,269.1,266.1,283.3,296.9,305.4,324.8,332.9,341.1,336.9,335.2,321.5
"Yên Bái",215.5,235.6,250.8,267.6,273.2,283.0,286.0,300.7,309.6,306.0,307.5,314.2,319.8,322.2,324.0,326.0
"Thái Nguyên",417.2,407.3,415.0,448.7,443.8,444.6,445.1,469.3,470.9,458.8,466.3,463.9,460.2,461.8,458.2,451.3
"Lạng Sơn",286.7,287.5,295.5,270.6,306.6,313.5,311.3,314.9,326.6,311.1,310.5,302.2,304.2,296.9,309.6,317.0
"Bắc Giang",569.4,612.5,642.7,668.5,662.7,623.9,666.0,661.3,671.6,652.2,640.7,634.9,625.7,623.2,608.7,598.6
"Phú Thọ",421.3,426.2,442.7,470.7,454.6,464.0,461.8,459.9,460.4,454.9,446.3,427.7,429.5,435.3,431.2,427.5
"Điện Biên",202.7,213.4,222.5,225.8,229.5,235.8,246.7,251.0,253.9,258.2,264.6,265.2,268.1,277.1,282.9,285.5
"Lai Châu",144.9,155.1,166.8,171.3,178.8,183.5,189.8,198.8,206.3,218.7,214.2,220.5,220.1,226.5,228.5,225.2
"Sơn La",652.0,667.0,564.5,662.5,830.2,836.0,841.0,766.0,781.5,741.8,656.3,582.1,563.2,545.4,535.2,543.2
"Hoà Bình",347.9,331.2,338.7,362.5,360.8,358.8,367.2,358.4,380.1,334.4,354.4,351.7,351.4,362.1,367.8,363.2
"Bắc Trung Bộ và Duyên hải miền Trung",6959.2,7020.9,7002.2,7372.7,7554.7,7492.3,7897.0,7784.8,7783.0,7913.2,7906.6,7715.0,7533.5,8058.2,7743.1,8028.7
"Thanh Hoá",1635.8,1660.5,1612.5,1641.4,1682.1,1650.0,1737.8,1720.8,1726.2,1688.4,1609.7,1607.1,1574.1,1611.8,1584.6,1571.4
"Nghệ An",1157.7,1084.8,1063.2,1171.6,1170.5,1160.6,1205.7,1214.4,1257.6,1257.1,1216.1,1160.4,1177.8,1250.9,1207.2,1221.8
"Hà Tĩnh",490.9,486.8,442.2,495.7,500.9,505.9,536.3,553.7,565.9,471.2,570.9,551.1,580.4,633.3,616.7,646.1
"Quảng Bình",261.4,264.8,254.0,281.4,284.0,274.0,299.1,299.1,306.9,310.5,310.4,284.4,297.5,322.1,297.3,308.4
"Quảng Trị",226.2,220.6,221.3,232.6,250.5,233.6,269.9,251.1,275.9,257.4,289.9,287.1,289.5,294.4,249.1,305.9
"Thừa Thiên Huế",280.1,288.3,291.2,305.3,305.9,291.3,323.3,325.7,330.5,334.1,341.0,333.1,326.1,348.3,272.5,340.8
"Đà Nẵng",47.3,46.9,45.8,38.8,38.8,34.3,35.9,33.8,34.8,33.8,33.7,31.9,31.5,32.8,29.0,29.2
"Quảng Năm",434.7,444.5,468.4,473.6,505.9,495.8,526.6,518.6,499.9,520.0,519.1,505.9,508.1,518.8,492.3,525.4
