"Diện tích gieo trồng và sản lượng lúa cả năm chia theo Giá trị và Chỉ số phát triển, Năm và Vụ mùa"

"Giá trị và Chỉ số phát triển","Năm","Tổng diện tích (Nghìn ha)","Diện tích Lúa  đông xuân (Nghìn ha)","Diện tích Lúa  hè thu (Nghìn ha)","Diện tích Lúa mùa (Nghìn ha)","Tổng sản lượng (Nghìn tấn)","Sản lượng Lúa  đông xuân (Nghìn tấn)","Sản lượng Lúa  hè thu (Nghìn tấn)","Sản lượng Lúa mùa (Nghìn tấn)"
"Giá trị","2008",7400.2,3013.1,2368.7,2018.4,38729.8,18326.9,11395.7,9007.2
"Giá trị","2009",7437.2,3060.9,2358.4,2017.9,38950.2,18695.8,11212.2,9042.2
"Giá trị","2010",7489.4,3085.9,2436.0,1967.5,40005.6,19216.8,11686.1,9102.7
"Giá trị","2011",7655.4,3096.8,2589.5,1969.1,42398.5,19778.3,13402.9,9217.3
"Giá trị","2012",7761.2,3124.3,2659.1,1977.8,43737.8,20291.9,13958.0,9487.9
"Giá trị","2013",7902.5,3105.6,2810.8,1986.1,44039.1,20069.7,14623.4,9346.0
"Giá trị","2014",7816.2,3116.5,2734.1,1965.6,44974.6,20850.5,14479.2,9644.9
"Giá trị","2015",7828.0,3168.0,2869.1,1790.9,45091.0,21091.7,15341.3,8658.0
"Giá trị","2016",7737.1,3128.9,2872.9,1735.3,43109.0,19646.6,15232.1,8230.4
"Giá trị","2017",7705.2,3117.1,2876.7,1711.4,42738.9,19415.8,15461.2,7861.9
"Giá trị","2018",7570.9,3102.8,2784.8,1683.3,44046.0,20603.0,15176.4,8265.0
"Giá trị","2019",7469.9,3124.1,2733.8,1612.0,43495.4,20471.6,14923.1,8098.6
"Giá trị","2020",7278.9,3024.0,2669.1,1585.8,42764.8,19874.4,14780.1,8106.2
"Giá trị","2021",7238.8,3006.8,2673.5,1558.5,43852.6,20628.8,15163.5,8055.8
"Giá trị","2022",7108.9,2992.3,2564.0,1552.6,42660.8,19976.0,14456.0,8226.5
"Giá trị","2023",7119.3,2952.5,2620.5,1546.2,43497.7,20189.3,15057.1,8245.9
"Chỉ số phát triển (Năm trước =100) - %","2008",102.7,100.8,107.5,100.1,107.8,107.7,112.4,102.6
"Chỉ số phát triển (Năm trước =100) - %","2009",100.5,101.6,99.6,100.0,100.6,102.0,98.4,100.4
"Chỉ số phát triển (Năm trước =100) - %","2010",100.7,100.8,103.3,97.5,102.7,102.8,104.2,100.7
"Chỉ số phát triển (Năm trước =100) - %","2011",102.2,100.4,106.3,100.1,106.0,102.9,114.7,101.3
"Chỉ số phát triển (Năm trước =100) - %","2012",101.4,100.9,102.7,100.4,103.2,102.6,104.1,102.9
"Chỉ số phát triển (Năm trước =100) - %","2013",101.8,99.4,105.7,100.4,100.7,98.9,104.8,98.5
"Chỉ số phát triển (Năm trước =100) - %","2014",98.9,100.4,97.3,99.0,102.1,103.9,99.0,103.2
"Chỉ số phát triển (Năm trước =100) - %","2015",100.2,101.7,104.9,91.1,100.3,101.2,106.0,89.8
"Chỉ số phát triển (Năm trước =100) - %","2016",98.8,98.8,100.1,96.9,95.6,93.1,99.3,95.1
"Chỉ số phát triển (Năm trước =100) - %","2017",99.6,99.6,100.1,98.6,99.1,98.8,101.5,95.5
"Chỉ số phát triển (Năm trước =100) - %","2018",98.3,99.5,96.8,98.4,103.1,106.1,98.2,105.1
"Chỉ số phát triển (Năm trước =100) - %","2019",98.7,100.7,98.2,95.8,98.7,99.4,98.3,98.0
"Chỉ số phát triển (Năm trước =100) - %","2020",97.4,96.8,97.6,98.4,98.3,97.1,99.0,100.1
"Chỉ số phát triển (Năm trước =100) - %","2021",99.4,99.4,100.2,98.3,102.5,103.8,102.6,99.4
"Chỉ số phát triển (Năm trước =100) - %","2022",98.2,99.5,95.9,99.6,97.3,96.8,95.3,102.1
"Chỉ số phát triển (Năm trước =100) - %","2023",100.1,98.7,102.2,99.6,102.0,101.1,104.2,100.2
