"Diện tích lúa cả năm phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",7422.2,7437.2,7489.4,7655.4,7761.2,7902.5,7816.2,7828.0,7737.1,7705.2,7570.9,7469.9,7278.9,7238.9,7108.9,7119.3
"Đồng bằng sông Hồng",1155.4,1155.5,1150.1,1144.5,1138.7,1129.9,1122.7,1110.9,1094.4,1071.4,1040.8,1012.3,983.4,970.3,953.6,937.0
"Hà Nội",206.9,206.9,204.7,204.9,205.4,204.3,202.8,200.6,197.1,189.9,179.5,171.7,165.6,162.2,158.5,155.0
"Hà Tây",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",60.5,60.5,59.3,59.2,59.4,59.0,58.6,58.4,58.4,57.9,56.6,54.1,53.9,53.7,53.1,52.5
"Bắc Ninh",74.8,74.8,74.3,73.7,72.6,72.5,72.7,71.9,70.8,69.1,66.4,65.6,63.4,61.8,60.1,58.6
"Quảng Ninh",45.0,45.0,44.7,43.9,43.6,43.0,43.1,42.5,42.3,41.6,41.1,40.2,39.1,38.5,37.4,36.8
"Hải Dương",127.0,127.0,127.5,126.6,126.4,125.9,125.0,122.7,120.3,118.2,116.4,114.9,112.5,111.0,109.7,108.3
"Hải Phòng",82.4,82.4,80.9,79.6,79.2,78.2,77.1,75.8,74.0,72.3,69.3,64.9,58.6,57.7,56.8,55.7
"Hưng Yên",81.5,81.5,81.9,81.9,81.8,80.7,78.9,77.5,74.1,70.4,66.4,63.0,58.8,56.1,53.6,50.3
"Thái Bình",167.1,167.1,166.4,165.7,162.8,161.8,161.8,161.0,160.1,158.7,157.2,155.2,153.7,153.2,151.6,149.9
"Hà Nam",70.4,70.4,70.3,69.8,69.0,68.2,67.4,66.8,65.6,64.5,63.2,62.1,60.5,59.5,58.6,57.5
"Nam Định",158.6,158.6,159.0,158.4,157.3,155.4,154.9,154.4,153.0,151.1,149.1,147.0,145.4,144.9,143.0,141.6
"Ninh Bình",81.2,81.3,81.1,80.8,81.2,80.9,80.4,79.3,78.7,77.7,75.6,73.6,71.9,71.8,71.2,70.8
"Trung du và miền núi phía Bắc",669.8,670.4,666.4,670.9,678.0,689.2,689.2,684.3,682.6,679.8,672.4,669.0,665.2,662.2,659.7,653.1
"Hà Giang",37.1,37.0,36.5,37.3,37.4,37.4,37.4,36.8,37.5,37.5,37.5,37.5,37.5,37.6,37.7,37.6
"Cao Bằng",30.3,30.4,30.5,30.1,30.7,30.4,30.4,30.5,28.9,30.4,30.3,30.2,29.0,29.2,30.3,29.7
"Bắc Kạn",21.5,21.8,21.8,22.2,22.3,23.0,24.0,24.6,24.3,24.0,23.5,23.3,22.9,22.9,22.6,22.4
"Tuyên Quang",45.6,45.6,45.4,45.5,45.8,45.9,45.6,45.6,45.1,45.1,44.8,44.3,44.5,44.2,43.9,43.0
"Lào Cai",29.1,29.1,29.7,30.4,30.6,30.5,30.8,30.7,31.6,32.3,33.6,33.7,34.0,34.0,33.5,34.0
"Yên Bái",41.2,41.2,41.0,41.2,40.4,40.5,40.9,41.3,42.8,42.5,42.1,42.8,42.9,42.6,42.5,42.6
"Thái Nguyên",69.9,69.9,69.8,71.2,72.6,72.2,72.5,72.4,72.0,71.1,70.7,70.1,69.8,68.8,68.3,67.5
"Lạng Sơn",49.9,49.9,49.6,49.6,50.3,50.8,50.7,49.8,50.1,49.5,48.8,48.4,48.1,47.2,48.1,47.9
"Bắc Giang",111.4,111.4,112.2,112.5,112.1,111.6,112.8,111.5,109.5,106.8,104.0,102.8,100.9,99.7,97.7,95.9
"Phú Thọ",71.3,71.3,68.8,69.7,69.2,69.8,69.6,69.4,67.7,67.1,64.3,61.7,61.3,60.2,59.3,58.4
"Điện Biên",44.9,44.9,46.4,47.5,48.3,49.0,49.4,49.4,50.1,50.2,51.3,51.7,52.4,53.8,55.1,55.6
"Lai Châu",30.0,30.2,30.3,29.3,28.8,30.3,30.4,30.9,31.4,32.9,32.1,32.9,32.7,32.3,32.0,31.4
"Sơn La",45.9,45.9,44.6,44.1,48.2,56.7,54.3,52.1,51.7,51.0,50.6,50.8,51.6,51.2,50.2,48.7
"Hoà Bình",41.7,41.8,39.8,40.3,41.3,41.1,40.4,39.3,39.9,39.4,38.8,38.8,37.6,38.5,38.5,38.4
"Bắc Trung Bộ và Duyên hải miền Trung",1219.3,1221.0,1214.1,1228.8,1236.4,1230.4,1243.8,1220.5,1215.3,1253.4,1234.4,1208.2,1157.7,1198.7,1185.4,1180.7
"Thanh Hoá",258.1,258.1,253.6,257.1,256.7,256.3,258.6,257.0,253.9,250.5,244.4,237.9,231.2,231.9,229.3,225.7
"Nghệ An",184.6,184.4,183.4,186.0,186.1,184.2,187.9,186.6,186.0,188.6,186.4,181.7,180.3,179.4,173.1,169.0
"Hà Tĩnh",100.5,100.5,99.1,99.1,99.3,98.7,101.1,101.7,103.4,104.1,102.8,103.6,103.8,104.9,104.8,104.3
"Quảng Bình",50.8,50.8,52.1,52.8,53.4,53.5,54.2,54.1,55.0,55.4,54.3,52.2,53.2,53.7,53.0,53.0
"Quảng Trị",48.1,48.1,48.1,48.5,49.0,50.1,50.2,47.7,49.8,50.3,50.7,50.5,50.7,50.2,50.5,50.2
"Thừa Thiên Huế",53.1,53.1,53.7,53.5,53.8,53.7,53.7,54.4,54.5,54.9,54.7,54.8,54.3,53.9,52.8,53.5
"Đà Nẵng",8.0,7.8,7.3,6.5,5.9,5.4,5.5,5.4,5.4,5.2,5.2,5.1,4.8,4.7,4.8,4.6
"Quảng Năm",85.9,86.6,85.3,87.7,88.6,87.9,87.4,88.5,86.7,86.8,86.2,84.9,83.5,82.6,83.2,82.9
"Quảng Ngãi",73.8,72.5,72.7,72.5,73.5,74.8,73.8,75.7,75.8,75.5,74.8,73.4,71.2,73.1,74.8,74.3
"Bình Định",115.1,114.0,113.1,112.4,111.2,102.5,106.3,105.7,102.5,105.1,103.6,100.0,94.2,96.0,94.5,92.8
"Phú Yên",56.7,56.7,56.5,57.4,57.1,57.8,57.0,57.2,57.5,56.9,56.6,55.4,54.8,55.2,55.5,55.2
"Khánh Hoà",45.7,45.9,44.2,45.2,47.1,46.6,45.6,34.2,39.9,47.5,46.6,45.6,33.4,45.3,43.2,45.1
"Ninh Thuận",37.9,39.2,37.8,38.8,41.5,43.6,42.8,37.3,41.4,48.4,42.9,44.4,32.6,44.1,45.5,47.0
"Bình Thuận",101.0,103.3,107.2,111.3,113.2,115.3,119.7,115.0,103.5,124.2,125.2,118.7,109.7,123.5,120.5,123.3
"Tây Nguyên",211.2,215.6,217.8,224.2,229.7,232.4,237.8,237.5,233.3,243.4,245.6,243.7,246.9,250.2,252.0,254.0
"Kon Tum",23.4,23.8,22.4,22.6,23.3,23.4,23.6,24.4,24.2,24.0,23.7,23.7,23.3,23.3,22.9,22.7
"Gia Lai",68.4,69.9,70.4,70.5,73.4,74.0,75.2,75.2,72.8,74.6,74.7,74.0,75.7,75.1,76.0,76.6
"Đắk Lắk",75.8,76.7,80.1,84.5,87.4,90.3,94.4,93.4,93.9,101.5,105.3,105.0,107.6,111.7,113.8,116.4
"Đắk Nông",11.4,11.8,11.1,12.3,12.3,12.3,12.6,12.6,12.4,13.0,13.2,12.8,12.7,13.0,13.0,13.0
"Lâm Đồng",32.2,33.4,33.8,34.3,33.3,32.4,32.0,31.9,30.0,30.3,28.7,28.2,27.6,27.1,26.3,25.3
"Đông Năm Bộ",307.6,304.7,295.1,293.1,294.4,280.3,273.2,273.3,270.4,271.9,270.2,267.4,262.0,258.9,255.5,255.8
"Bình Phước",14.3,14.8,14.6,13.4,14.6,13.6,13.0,12.8,12.2,12.2,12.1,11.5,11.2,10.6,10.5,10.6
"Tây Ninh",152.2,154.4,154.2,155.5,155.3,146.3,142.2,144.5,144.6,147.9,149.5,149.1,147.7,147.8,147.7,148.7
"Bình Dương",11.7,10.4,10.1,9.8,9.6,9.3,8.3,7.6,7.3,7.2,6.9,6.7,6.3,6.0,5.6,5.4
"Đồng Nai",75.0,73.2,69.4,68.7,68.4,66.2,65.3,63.6,61.7,60.7,59.8,58.8,55.7,53.9,52.5,51.4
"Bà Rịa - Vũng Tàu",24.1,24.7,22.4,23.7,24.1,23.5,23.5,24.5,25.1,24.8,25.0,24.5,24.4,24.0,23.0,23.7
"TP.Hồ Chí Minh",30.3,27.2,24.4,22.0,22.4,21.4,20.9,20.3,19.5,19.1,16.9,16.8,16.7,16.6,16.2,16.0
"Đồng bằng sông Cửu Long",3858.9,3870.0,3945.9,4093.9,4184.0,4340.3,4249.5,4301.5,4241.1,4185.3,4107.5,4069.3,3963.7,3898.6,3802.7,3838.7
"Long An",457.0,463.6,471.1,484.2,499.6,527.7,519.2,522.9,527.4,526.7,511.3,506.3,502.6,511.3,509.1,516.3
"Tiền Giang",244.9,246.4,244.0,241.8,241.4,235.6,230.6,224.7,215.5,210.8,201.3,184.3,136.0,131.9,134.9,129.4
"Bến Tre",79.2,81.1,80.2,76.9,75.8,72.2,66.6,63.0,41.5,54.9,51.8,47.6,22.0,36.6,23.6,22.2
"Trà Vinh",226.9,231.9,232.7,233.0,227.4,235.6,235.8,235.8,210.6,220.2,223.2,224.3,205.2,209.0,199.0,203.4
"Vĩnh Long",177.4,176.7,170.0,181.5,185.9,181.9,180.2,180.5,176.4,169.4,161.9,155.5,145.8,134.5,112.4,112.7
"Đồng Tháp",468.1,450.8,465.1,501.1,487.6,541.8,528.6,546.0,551.4,538.3,520.4,521.6,514.2,504.4,482.2,498.3
"An Giang",564.5,557.3,586.6,607.6,625.1,641.4,625.8,644.2,669.0,641.1,623.1,626.3,637.2,624.9,604.4,616.2
"Kiên Giang",609.2,622.1,642.7,686.9,725.1,770.4,753.6,769.5,765.9,735.3,728.4,722.1,725.8,715.7,699.6,712.9
"Cần Thơ",218.6,208.8,209.4,224.7,228.2,236.6,232.3,237.9,240.0,240.1,237.3,225.1,223.0,222.4,216.4,216.2
"Hậu Giang",202.9,191.2,210.7,212.7,214.1,212.0,205.3,207.1,202.2,206.6,194.6,196.1,198.2,189.0,188.4,177.8
"Sóc Trăng",322.3,334.6,349.6,349.0,365.9,373.5,363.9,362.7,356.6,348.2,351.8,356.3,353.7,327.9,332.8,330.4
"Bắc Liêu",155.0,166.5,158.3,164.3,178.7,181.8,180.2,180.6,172.4,180.6,185.0,188.2,187.6,191.0,188.9,191.6
"Cà Mau",132.9,139.0,125.5,130.2,129.2,129.8,127.4,126.6,112.2,113.1,117.4,115.6,112.4,100.1,111.0,111.3
