"Sản lượng lúa cả năm phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",38729.8,38950.2,40005.6,42398.5,43737.8,44039.1,44974.6,45091.0,43109.0,42738.9,44046.0,43495.4,42764.8,43852.6,42660.8,43497.7
"Đồng bằng sông Hồng",6790.2,6796.8,6805.4,6965.9,6881.3,6655.4,6759.8,6729.5,6545.0,6083.3,6298.0,6134.0,6035.5,6020.4,5887.8,5815.7
"Hà Nội",1177.8,1154.1,1125.1,1220.3,1202.4,1156.5,1175.5,1169.5,1109.6,1051.1,1024.6,969.4,973.5,983.8,952.5,939.3
"Hà Tây",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",301.5,323.6,314.3,335.7,299.8,308.4,331.2,326.4,294.5,320.3,330.6,313.2,313.0,320.9,281.8,311.4
"Bắc Ninh",440.3,444.9,440.1,468.0,453.4,424.2,439.4,444.8,439.1,414.9,410.4,402.7,404.1,401.2,391.9,375.2
"Quảng Ninh",204.1,203.3,208.6,212.6,216.5,210.4,211.3,211.9,211.8,195.9,208.6,203.4,201.8,199.8,194.2,190.2
"Hải Dương",757.7,773.5,757.9,780.9,782.3,739.8,742.6,740.0,726.4,657.9,702.5,682.8,681.9,697.5,693.4,680.0
"Hải Phòng",475.9,488.3,485.5,484.4,490.1,490.2,484.7,478.3,465.1,436.7,440.8,413.2,376.1,370.7,365.7,359.6
"Hưng Yên",514.5,511.0,514.6,528.6,528.6,502.1,489.6,480.5,457.4,418.6,415.4,403.5,369.5,354.4,338.0,316.8
"Thái Bình",1105.2,1105.8,1104.4,1091.3,1059.5,1053.2,1061.9,1061.9,1053.6,942.6,1030.4,1022.3,1013.1,997.6,992.7,978.8
"Hà Nam",416.3,419.1,417.4,424.6,424.5,395.1,401.6,405.6,395.5,366.4,386.3,384.6,376.2,371.0,363.6,359.5
"Nam Định",929.0,889.1,952.0,931.6,933.8,914.6,937.7,935.2,923.9,841.9,891.2,888.2,883.2,879.2,874.0,865.9
"Ninh Bình",467.9,484.1,485.5,487.9,490.4,460.9,484.3,475.4,468.1,437.0,457.2,450.7,443.1,444.5,439.9,438.9
"Trung du và miền núi phía Bắc",2903.9,3053.6,3087.8,3199.1,3271.1,3265.6,3341.1,3336.8,3405.5,3336.4,3382.8,3378.5,3391.2,3426.5,3435.7,3414.4
"Hà Giang",167.3,185.3,194.2,201.8,202.9,206.9,207.9,203.5,210.5,211.4,212.8,213.5,215.5,217.5,216.5,217.7
"Cao Bằng",124.6,118.9,125.8,117.2,123.1,125.6,126.9,129.5,124.8,132.7,132.5,135.9,131.3,133.7,142.4,138.2
"Bắc Kạn",93.8,96.2,93.7,97.9,104.4,107.3,112.1,117.4,118.1,112.3,114.7,117.0,118.1,117.5,117.2,113.1
"Tuyên Quang",256.6,261.3,261.8,265.9,266.7,266.6,265.4,266.3,264.3,262.9,262.4,259.9,261.4,261.6,260.3,257.0
"Lào Cai",118.4,128.3,126.4,141.7,144.3,146.9,148.4,150.1,158.3,158.8,172.9,177.1,181.1,183.4,183.9,185.9
"Yên Bái",170.2,186.2,186.1,194.8,197.7,198.5,202.4,207.7,214.2,211.5,210.0,215.5,217.7,218.3,219.5,220.9
"Thái Nguyên",332.6,339.3,339.8,368.3,367.4,363.0,365.9,381.4,384.7,379.4,386.4,384.7,383.4,384.6,383.2,376.3
"Lạng Sơn",191.8,194.1,198.3,169.9,202.8,208.1,212.9,210.6,218.3,205.9,205.2,203.9,206.9,203.2,213.5,215.4
"Bắc Giang",518.4,571.6,597.8,627.8,629.1,588.6,626.6,619.1,628.5,609.2,599.5,593.6,582.9,580.7,566.9,554.5
"Phú Thọ",331.8,362.8,352.3,376.4,375.5,379.6,376.0,370.4,373.2,367.9,365.8,345.2,347.7,352.2,345.8,346.1
"Điện Biên",138.4,146.6,155.1,154.8,157.9,161.6,170.6,174.8,175.4,178.1,185.3,187.0,190.8,200.2,206.7,211.5
"Lai Châu",104.7,111.9,116.7,118.6,119.4,126.2,127.7,132.8,136.4,145.7,143.8,149.8,148.8,152.0,153.3,152.4
"Sơn La",148.5,152.8,147.1,155.8,162.9,181.3,183.3,177.4,182.9,180.0,184.3,189.0,199.0,206.3,209.5,206.0
"Hoà Bình",206.8,198.3,192.7,208.2,217.0,205.4,215.0,195.8,215.9,180.6,207.2,206.4,206.6,215.4,217.1,219.4
"Bắc Trung Bộ và Duyên hải miền Trung",6114.9,6243.2,6152.0,6535.1,6727.2,6599.7,7034.0,6855.1,6842.2,6997.9,7059.6,6855.1,6694.9,7200.3,6886.5,7147.5
"Thanh Hoá",1404.3,1452.7,1396.6,1427.4,1482.5,1431.5,1516.5,1475.3,1493.1,1463.3,1413.5,1399.2,1373.6,1413.0,1390.6,1387.8
"Nghệ An",934.3,898.8,828.6,959.9,969.8,930.1,1012.5,978.8,1007.4,1015.1,1009.1,946.1,974.3,1043.2,995.6,1002.2
"Hà Tĩnh",466.5,467.8,414.4,470.9,482.3,479.0,511.4,521.5,530.4,442.8,535.3,506.7,534.1,580.5,558.4,578.6
"Quảng Bình",240.1,243.4,234.7,260.2,262.4,251.9,277.4,275.4,281.4,284.7,284.7,260.9,273.4,293.0,270.5,281.4
"Quảng Trị",218.3,213.0,213.0,224.7,240.6,224.1,258.7,239.4,263.1,243.4,275.5,273.3,276.4,279.3,235.6,291.3
"Thừa Thiên Huế",274.8,282.6,285.2,299.1,299.0,284.9,317.1,319.3,324.3,327.4,334.4,326.7,320.2,342.5,266.6,334.8
