"Diện tích gieo trồng lúa đông xuân phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",3013.1,3060.9,3085.9,3096.8,3124.3,3105.6,3116.5,3168.0,3128.9,3117.1,3102.8,3124.1,3024.0,3006.8,2992.3,2952.5
"Đồng bằng sông Hồng",566.3,571.3,568.7,566.1,565.2,561.3,557.9,553.0,546.1,536.2,524.4,515.0,499.0,491.4,484.2,476.8
"Hà Nội",101.2,103.2,101.8,102.0,102.7,102.3,101.6,101.0,99.4,96.9,93.1,90.6,86.9,85.1,83.7,82.5
"Hà Tây",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",29.8,31.4,30.9,30.8,31.1,30.9,30.8,30.8,31.2,31.3,31.0,30.2,29.9,29.7,29.3,29.0
"Bắc Ninh",38.0,37.3,37.1,36.8,36.5,36.4,36.3,36.0,35.6,34.9,33.7,33.1,31.9,31.1,30.4,29.7
"Quảng Ninh",17.3,17.3,17.8,17.2,17.2,17.2,17.2,17.0,17.0,16.5,16.4,15.9,15.8,15.4,15.1,14.9
"Hải Dương",63.7,64.0,64.1,63.6,63.6,63.4,63.0,61.8,60.7,59.4,58.5,57.8,56.6,55.8,55.0,54.3
"Hải Phòng",40.0,40.1,39.2,38.5,38.5,38.0,37.5,36.7,35.7,35.1,34.2,32.6,29.0,28.4,28.0,27.6
"Hưng Yên",40.3,40.3,40.6,40.6,40.7,40.4,39.5,38.7,37.1,35.4,33.4,32.0,29.7,28.1,27.1,25.3
"Thái Bình",84.2,83.2,82.7,82.4,81.1,80.5,80.5,80.1,79.7,79.1,78.3,77.6,76.3,76.5,75.6,74.9
"Hà Nam",33.8,34.7,34.8,34.5,34.2,33.8,33.4,33.1,32.4,32.0,31.3,31.1,30.2,29.6,29.2,28.7
"Nam Định",76.9,78.3,78.1,78.1,77.7,76.5,76.3,76.1,75.7,74.5,73.9,73.5,72.5,71.8,71.0,70.4
"Ninh Bình",41.1,41.5,41.6,41.6,41.9,41.9,41.8,41.7,41.6,41.1,40.6,40.6,40.2,39.9,39.8,39.6
"Trung du và miền núi phía Bắc",231.2,240.1,236.5,240.6,245.6,248.0,250.1,251.5,253.0,250.3,248.2,247.4,246.7,245.0,244.6,243.0
"Hà Giang",9.5,9.9,9.3,10.0,9.9,9.7,9.5,9.6,9.3,9.2,9.2,9.3,9.2,9.2,9.3,9.4
"Cao Bằng",3.7,3.8,3.0,3.3,3.2,3.4,3.3,3.3,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.6
"Bắc Kạn",7.1,7.5,7.4,7.6,7.7,7.9,8.7,9.1,9.3,9.0,8.9,8.8,8.7,8.6,8.6,8.5
"Tuyên Quang",19.5,19.8,19.7,19.7,20.1,20.3,20.1,20.2,20.0,19.8,19.6,19.2,19.3,19.1,19.0,18.7
"Lào Cai",8.8,9.0,9.1,9.5,9.8,9.8,9.9,10.0,10.1,10.1,10.1,10.2,10.1,10.1,9.9,9.9
"Yên Bái",16.9,17.3,17.4,17.9,18.2,18.7,19.0,19.4,19.8,19.6,19.7,19.6,19.7,19.5,19.5,19.5
"Thái Nguyên",27.4,28.7,28.3,29.6,30.2,30.1,30.4,30.5,30.7,30.3,30.1,29.9,29.9,29.4,29.3,29.0
"Lạng Sơn",15.1,15.8,15.4,15.5,16.1,16.1,16.1,15.4,16.2,15.7,15.5,15.4,15.6,15.0,15.6,15.4
"Bắc Giang",50.1,52.2,52.9,53.2,53.2,53.2,53.8,53.6,53.2,51.8,50.5,49.9,49.1,48.5,47.7,46.9
"Phú Thọ",35.1,36.9,35.5,35.8,36.7,36.7,37.0,37.2,37.1,37.0,36.8,36.5,36.3,36.1,35.8,35.6
