"Năng suất gieo trồng lúa đông xuân phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",60.8,61.1,62.3,63.9,64.9,64.6,66.9,66.6,62.8,62.3,66.4,65.5,65.7,68.6,66.8,68.4
"Đồng bằng sông Hồng",63.7,63.4,63.2,66.9,66.2,65.7,65.5,65.8,65.6,65.9,66.9,65.3,65.5,66.6,65.9,66.5
"Hà Nội",59.8,58.3,58.0,62.6,61.8,61.2,61.1,61.1,60.9,61.3,62.8,58.8,59.7,62.6,61.6,62.8
"Hà Tây",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",55.4,56.1,55.3,59.9,59.3,60.3,60.4,59.8,58.6,61.1,63.1,62.2,61.1,62.8,51.3,61.5
"Bắc Ninh",63.5,64.2,64.5,70.5,68.8,67.0,63.1,65.9,65.0,64.4,66.1,63.3,64.9,66.3,67.0,66.3
"Quảng Ninh",49.8,50.9,50.6,55.2,54.3,53.4,54.2,54.9,54.4,54.8,55.9,55.8,55.4,55.7,55.9,55.7
"Hải Dương",64.9,64.6,60.5,67.8,65.7,63.5,63.6,64.5,64.6,65.1,66.9,62.7,63.1,65.6,67.1,65.5
"Hải Phòng",63.6,62.9,63.8,67.9,69.1,69.1,69.1,69.4,69.5,69.5,70.2,69.7,69.7,70.2,70.3,70.1
"Hưng Yên",65.8,64.3,63.9,69.3,68.2,67.6,66.6,66.1,65.9,65.9,67.5,67.5,67.5,67.8,67.6,67.5
"Thái Bình",70.0,70.3,70.6,72.6,71.7,71.5,71.7,71.6,71.5,71.7,71.7,71.3,70.7,71.0,71.1,70.8
"Hà Nam",63.4,63.1,63.7,66.6,66.1,66.4,65.8,66.5,66.5,66.8,67.1,66.5,66.6,66.9,66.6,67.2
"Nam Định",67.5,67.5,68.2,68.8,68.9,69.0,69.1,69.2,69.4,69.4,69.6,69.4,69.4,69.5,69.5,69.5
"Ninh Bình",62.3,62.2,64.2,65.4,65.0,65.3,65.8,66.0,66.2,66.1,66.7,66.8,66.5,66.8,66.4,66.8
"Trung du và miền núi phía Bắc",51.7,52.8,54.0,56.8,56.3,56.6,56.1,56.6,57.5,57.5,58.7,57.8,57.3,58.7,58.4,58.2
