"Sản lượng lúa đông xuân phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",18326.9,18695.8,19216.8,19778.3,20291.9,20069.7,20850.5,21091.7,19646.6,19415.8,20603.0,20471.6,19874.4,20628.8,19976.0,20189.3
"Đồng bằng sông Hồng",3609.7,3621.0,3592.6,3789.0,3739.2,3687.5,3651.5,3636.0,3583.2,3533.8,3507.0,3365.4,3266.2,3274.1,3192.8,3172.6
"Hà Nội",605.0,601.4,590.0,638.8,634.2,625.6,620.7,616.7,605.7,594.4,584.3,532.6,518.5,532.7,515.3,517.9
"Hà Tây",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",165.2,176.2,171.0,184.6,184.5,186.3,186.0,184.1,182.7,191.1,195.5,187.9,182.7,186.1,150.2,178.3
"Bắc Ninh",241.3,239.4,239.3,259.6,251.1,243.8,228.9,237.4,231.3,224.9,222.7,209.5,206.9,206.5,203.7,196.7
"Quảng Ninh",86.2,88.1,90.1,94.9,93.4,91.9,93.3,93.3,92.5,90.4,91.7,88.7,87.5,85.7,84.5,82.7
"Hải Dương",413.3,413.4,387.9,430.9,418.0,402.3,400.5,398.8,392.2,386.5,391.6,362.4,357.1,366.1,369.0,355.4
"Hải Phòng",254.3,252.3,250.1,261.3,265.9,262.6,259.3,254.7,248.1,243.8,240.0,227.1,202.0,199.5,196.8,193.5
"Hưng Yên",265.3,259.0,259.5,281.4,277.4,273.2,262.9,255.7,244.4,233.2,225.3,216.1,200.5,190.3,183.1,171.0
"Thái Bình",589.4,585.3,583.7,598.5,581.2,575.7,577.5,573.4,570.0,566.8,561.3,553.2,539.1,543.5,537.9,530.3
"Hà Nam",214.2,218.9,221.6,229.7,226.1,224.6,219.9,220.0,215.6,213.6,210.0,206.8,201.1,198.1,194.6,192.7
"Nam Định",519.4,528.8,532.5,537.2,535.2,527.8,527.5,526.8,525.5,517.3,514.0,509.8,503.3,499.0,493.2,489.3
"Ninh Bình",256.1,258.2,266.9,272.1,272.2,273.7,275.0,275.1,275.2,271.8,270.6,271.3,267.5,266.8,264.5,264.7
"Trung du và miền núi phía Bắc",1195.2,1267.9,1278.2,1365.8,1382.7,1403.2,1402.7,1422.8,1454.3,1439.7,1457.6,1431.0,1414.1,1439.0,1427.6,1413.0
"Hà Giang",44.3,48.4,48.7,54.2,52.4,54.2,53.1,53.5,52.6,52.6,52.8,53.3,53.2,53.7,54.0,54.4
"Cao Bằng",18.8,19.2,15.2,16.9,16.3,17.7,16.8,17.0,18.4,18.2,18.3,18.3,18.7,18.8,19.1,17.3
"Bắc Kạn",32.8,35.9,35.6,40.5,41.3,42.6,44.4,50.0,51.2,49.4,49.7,48.5,49.4,49.3,48.6,45.2
"Tuyên Quang",109.9,115.3,114.7,118.1,119.4,121.0,119.4,120.6,119.8,118.4,118.5,115.5,115.8,115.5,114.6,113.1
"Lào Cai",46.6,48.7,49.5,52.7,54.8,55.0,54.8,56.4,58.0,58.4,60.7,61.5,60.0,61.6,60.6,59.5
"Yên Bái",82.1,88.9,90.7,95.2,98.4,100.9,101.0,105.4,107.9,107.3,108.4,108.3,109.2,109.0,109.2,109.7
"Thái Nguyên",137.1,143.6,145.3,162.6,159.0,161.8,159.4,167.4,168.7,168.5,171.2,168.0,164.6,167.2,166.7,164.5
"Lạng Sơn",72.9,77.5,78.1,79.7,83.9,83.9,83.3,79.8,85.1,81.6,83.5,79.3,79.7,77.6,80.5,78.9
"Bắc Giang",263.8,280.5,296.7,316.4,316.0,314.8,312.1,317.3,320.0,312.8,308.8,302.5,294.0,292.1,284.2,280.8
"Phú Thọ",180.3,197.7,192.2,206.6,211.1,212.7,213.1,212.5,221.7,221.7,228.1,216.3,216.3,223.6,218.2,217.9
"Điện Biên",43.7,42.4,46.4,46.4,48.0,45.5,51.3,53.6,52.4,53.2,55.3,57.0,52.5,60.0,58.9,61.0
"Lai Châu",26.0,27.8,28.2,28.7,30.6,32.3,33.9,35.0,35.4,36.0,36.1,37.1,33.9,37.7,37.9,37.3
"Sơn La",52.1,54.8,54.9,57.5,60.2,67.1,68.5,64.2,68.4,69.7,70.6,72.3,73.3,76.7,79.0,76.1
"Hoà Bình",84.8,87.2,82.0,90.3,91.3,93.7,91.6,90.1,94.7,91.9,95.6,93.1,93.5,96.3,96.1,97.4
"Bắc Trung Bộ và Duyên hải miền Trung",2951.2,3156.5,3243.6,3332.3,3443.2,3425.3,3675.6,3598.9,3530.6,3590.1,3780.7,3743.0,3582.9,3857.6,3584.9,3814.0
"Thanh Hoá",711.5,729.8,727.1,768.5,788.4,759.9,800.1,785.1,795.3,794.6,797.2,772.0,748.9,770.5,737.4,762.7
"Nghệ An",517.2,542.0,540.9,576.6,577.4,543.2,595.6,569.7,601.1,606.7,622.9,611.4,613.7,629.9,607.6,628.3
"Hà Tĩnh",266.0,270.4,268.6,284.6,293.6,303.9,317.5,312.9,328.7,241.9,333.7,331.2,325.4,349.8,333.6,354.0
"Quảng Bình",145.9,148.4,152.0,164.6,167.8,166.8,179.0,180.0,181.0,184.5,184.7,184.9,183.1,190.1,174.8,183.6
"Quảng Trị",114.0,121.6,121.6,130.4,132.8,127.1,143.0,138.5,146.3,146.2,151.8,152.1,153.3,158.2,107.1,160.7
"Thừa Thiên Huế",141.5,149.0,154.4,153.0,155.8,159.1,167.4,167.6,169.5,178.3,178.2,180.8,170.7,191.8,126.8,184.9
"Đà Nẵng",20.8,24.0,23.0,18.2,19.7,17.9,18.9,17.1,17.2,17.5,17.9,16.6,16.6,17.6,14.9,15.5
"Quảng Năm",172.8,216.6,214.0,201.9,236.8,238.2,247.7,240.4,219.1,240.8,246.6,244.2,246.5,256.4,233.3,253.6
"Quảng Ngãi",159.6,197.1,205.5,187.3,211.3,221.0,228.7,231.1,209.4,231.0,232.6,232.4,230.5,243.0,232.7,233.3
"Bình Định",262.8,278.7,295.5,298.1,300.5,289.7,324.5,330.0,320.3,320.4,331.9,336.4,338.9,341.5,331.9,337.0
"Phú Yên",118.1,163.4,175.2,156.9,166.6,181.7,188.7,195.6,182.1,185.1,202.6,197.8,198.7,207.1,174.2,198.0
"Khánh Hoà",105.0,108.9,113.9,110.8,111.3,123.3,132.6,127.5,121.0,119.2,127.1,130.3,128.4,138.1,128.6,124.2
"Ninh Thuận",75.9,79.7,79.6,90.1,86.1,92.4,110.9,85.8,96.5,105.6,109.5,111.2,79.8,118.5,118.3,114.9
"Bình Thuận",140.1,126.9,172.3,191.3,195.1,201.1,221.0,217.6,143.1,218.3,244.0,241.7,148.4,245.1,263.7,263.5
"Tây Nguyên",360.2,412.9,427.8,406.3,468.5,449.9,523.8,481.9,424.4,529.9,567.9,578.3,583.2,612.6,629.4,633.9
"Kon Tum",29.1,30.9,30.3,27.4,31.4,31.6,33.0,35.8,30.8,32.9,33.6,34.2,33.5,35.4,36.4,36.6
"Gia Lai",125.9,128.7,135.0,112.6,146.2,138.5,152.2,133.4,111.1,140.9,145.6,153.1,155.5,159.1,165.0,162.3
"Đắk Lắk",139.0,180.5,190.2,187.5,209.3,202.6,256.2,230.2,209.5,275.9,308.7,308.7,313.3,330.4,342.0,352.5
"Đắk Nông",22.0,24.8,24.2,24.9,26.5,24.8,28.6,28.9,25.9,29.4,29.3,29.8,30.9,32.8,33.3,31.4
"Lâm Đồng",44.2,48.0,48.1,53.9,55.1,52.4,53.8,53.6,47.1,50.8,50.7,52.5,50.0,54.9,52.7,51.0
"Đông Năm Bộ",377.4,381.4,398.6,401.5,424.1,409.2,405.2,424.4,422.8,439.1,456.1,477.9,458.1,458.3,472.2,478.9
"Bình Phước",9.7,10.1,9.8,9.4,12.2,11.5,11.0,11.0,9.2,10.8,13.4,13.3,11.2,10.8,11.3,11.6
"Tây Ninh",216.8,220.0,234.4,244.6,255.9,244.2,241.0,255.1,250.6,258.1,273.6,281.1,265.5,267.9,277.0,281.8
"Bình Dương",12.3,11.3,11.8,13.7,13.4,13.2,12.5,11.5,10.9,11.2,10.6,10.5,10.4,9.9,9.6,9.3
"Đồng Nai",87.1,87.5,87.7,83.7,84.1,83.7,84.9,88.1,89.2,92.2,92.4,103.3,102.2,100.0,100.6,101.5
"Bà Rịa - Vũng Tàu",21.4,24.2,25.9,26.0,27.8,27.5,29.3,35.1,37.4,40.3,41.5,43.5,43.6,44.8,48.8,48.0
"TP.Hồ Chí Minh",30.1,28.3,29.0,24.1,30.7,29.1,26.5,23.6,25.5,26.5,24.6,26.2,25.2,24.8,25.0,26.7
"Đồng bằng sông Cửu Long",9833.2,9856.1,10276.0,10483.4,10834.2,10694.6,11191.7,11527.7,10231.3,9883.2,10833.7,10876.0,10569.9,10987.2,10669.2,10677.0
"Long An",1296.8,1322.8,1436.6,1486.0,1596.5,1477.9,1580.5,1569.7,1406.5,1310.0,1441.3,1471.3,1474.1,1502.5,1456.6,1526.6
"Tiền Giang",551.2,535.1,537.2,540.4,562.3,547.5,557.5,541.0,503.1,470.5,513.2,466.6,374.0,367.2,350.1,336.3
"Bến Tre",118.3,124.2,121.2,105.6,115.6,96.3,105.0,87.6,0.8,69.4,77.4,61.7,0.2,55.9,4.1,5.7
"Trà Vinh",294.5,297.5,346.8,289.6,362.6,389.0,446.2,469.3,277.7,353.3,445.7,453.9,214.3,382.6,411.5,378.7
"Vĩnh Long",431.3,427.5,453.9,434.8,434.5,422.0,435.9,437.0,390.5,354.1,371.8,345.7,360.3,335.3,324.8,274.0
"Đồng Tháp",1453.9,1428.4,1472.7,1482.0,1504.8,1472.8,1497.0,1443.2,1420.3,1254.4,1438.2,1437.4,1452.0,1435.0,1384.8,1390.1
"An Giang",1694.8,1677.2,1708.9,1768.8,1746.1,1749.4,1837.2,1804.4,1719.9,1660.4,1727.4,1659.3,1645.2,1771.8,1685.9,1719.4
"Kiên Giang",1813.2,1860.3,1892.1,1995.5,2061.7,2076.4,2207.6,2224.5,1850.3,1799.7,2051.0,1989.0,2122.3,2166.1,2089.5,2159.6
