"Diện tích gieo trồng lúa hè thu và thu đông phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",2368.7,2358.4,2436.0,2589.5,2659.1,2810.8,2734.1,2869.1,2872.9,2876.7,2784.8,2733.8,2669.1,2673.5,2564.0,2620.5
"Bắc Trung Bộ và Duyên hải miền Trung",328.5,345.2,333.6,338.6,347.6,343.2,345.6,328.6,337.9,360.1,353.3,347.2,329.1,353.6,350.0,349.1
"Nghệ An",56.9,65.6,58.2,54.3,59.4,59.9,59.3,55.6,54.6,59.5,59.0,60.3,59.1,61.8,60.2,57.0
"Hà Tĩnh",40.6,41.7,41.4,41.7,41.9,41.3,42.8,42.0,44.0,44.5,43.1,43.6,44.0,45.0,44.5,44.6
"Quảng Bình",22.1,22.9,23.2,23.6,24.0,24.0,24.1,23.5,24.3,24.8,23.8,22.2,23.1,23.6,23.2,23.3
"Quảng Trị",19.4,21.2,21.2,21.6,21.9,22.3,22.3,20.1,22.2,22.5,22.7,22.6,22.6,22.6,22.8,22.6
"Thừa Thiên Huế",24.4,25.5,25.6,25.5,25.6,25.4,25.4,25.9,26.0,25.6,25.5,25.5,25.4,25.4,24.4,25.2
"Đà Nẵng",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Quảng Năm",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Quảng Ngãi",31.4,31.7,31.7,31.9,33.2,33.9,32.9,33.8,34.3,34.3,34.2,33.4,31.3,34.0,35.2,34.9
"Bình Định",40.4,41.6,41.3,42.4,42.9,38.2,42.4,42.3,40.6,43.6,43.7,42.8,38.1,41.3,42.7,41.6
"Phú Yên",23.7,24.0,23.8,24.4,24.5,25.0,24.4,24.5,24.8,24.9,24.8,24.7,24.1,24.6,24.9,24.8
"Khánh Hoà",18.1,18.6,17.4,18.7,19.1,18.7,17.0,8.8,13.6,18.5,18.2,18.1,6.8,18.0,17.9,18.2
"Ninh Thuận",12.9,13.7,11.1,14.3,14.5,13.7,12.8,11.6,12.4,17.0,14.4,14.8,11.0,14.6,15.7,16.3
"Bình Thuận",38.6,38.7,38.7,40.2,40.6,40.8,42.2,40.5,41.1,44.9,43.9,39.2,43.6,42.9,38.5,40.8
"Tây Nguyên",6.0,6.3,5.9,6.2,6.3,6.2,6.2,6.4,5.6,6.1,5.9,5.9,5.9,5.8,5.4,5.3
"Lâm Đồng",6.0,6.3,5.9,6.2,6.3,6.2,6.2,6.4,5.6,6.1,5.9,5.9,5.9,5.8,5.4,5.3
"Đông Năm Bộ",94.4,96.3,91.3,93.7,92.7,91.0,89.5,90.0,87.9,88.6,89.1,87.4,86.2,85.8,84.1,83.9
"Tây Ninh",51.1,53.0,51.9,52.9,51.3,50.9,49.2,49.2,49.5,50.4,51.3,50.6,50.4,50.8,49.6,50.1
"Bình Dương",2.3,2.2,2.1,1.9,1.9,1.8,1.7,1.7,1.6,1.5,1.4,1.4,1.3,1.2,1.1,1.1
"Đồng Nai",26.9,26.3,25.4,25.5,25.7,24.3,24.3,23.7,21.9,22.0,22.2,21.4,20.4,19.8,19.2,18.8
"Bà Rịa - Vũng Tàu",6.6,7.7,5.4,7.4,7.8,7.7,7.8,8.2,8.4,8.6,8.6,8.2,8.2,8.2,8.3,8.2
"TP.Hồ Chí Minh",7.5,7.1,6.5,6.0,6.0,6.3,6.5,7.2,6.5,6.1,5.6,5.8,5.9,5.9,5.9,5.8
"Đồng bằng sông Cửu Long",1939.8,1910.6,2005.2,2151.0,2212.5,2370.4,2292.8,2444.1,2441.5,2421.9,2336.5,2293.3,2247.9,2228.3,2124.5,2182.1
"Long An",201.7,201.3,207.7,220.2,227.4,286.2,274.9,283.9,292.6,290.3,273.5,272.2,273.6,283.7,281.5,289.8
"Tiền Giang",162.3,163.7,162.1,160.8,160.8,156.3,153.2,149.6,141.2,139.2,132.5,119.4,78.4,80.2,85.7,81.2
"Bến Tre",24.5,24.2,23.2,23.1,22.2,20.1,19.3,17.9,16.6,30.8,30.0,28.0,10.7,20.5,17.8,16.0
"Trà Vinh",82.9,82.4,81.4,81.0,80.2,80.7,80.2,164.3,139.4,157.9,155.1,153.5,142.4,147.9,134.6,140.2
"Vĩnh Long",109.2,109.1,103.1,115.7,122.1,118.4,118.7,119.5,115.3,110.4,105.7,100.3,93.4,87.0,66.0,72.9
"Đồng Tháp",260.1,243.6,257.4,294.2,279.3,333.6,321.2,341.1,342.6,329.4,314.7,316.2,313.6,308.3,292.9,308.2
"An Giang",324.7,315.6,347.0,366.7,383.3,397.9,383.2,400.3,424.7,399.9,388.0,387.8,403.0,390.0,371.0,385.0
