"Năng suất gieo trồng lúa hè thu và thu đông phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",48.1,47.5,48.0,51.8,52.5,52.0,53.0,53.5,53.0,53.7,54.5,54.6,55.4,56.7,56.4,57.5
"Bắc Trung Bộ và Duyên hải miền Trung",52.2,49.6,46.5,52.6,52.1,50.6,53.3,54.2,55.0,54.2,54.2,51.4,54.5,56.4,56.6,57.3
"Nghệ An",51.4,43.6,34.6,46.4,45.2,45.3,47.5,49.5,49.5,48.7,44.7,40.2,44.7,51.4,51.5,51.2
"Hà Tĩnh",45.8,45.1,34.4,43.3,43.7,41.5,44.3,48.5,45.4,44.9,46.5,40.0,47.3,51.1,50.4,50.3
"Quảng Bình",41.5,41.0,35.6,40.2,39.1,35.3,40.5,40.3,41.0,40.2,41.7,34.0,39.0,43.4,41.1,41.8
"Quảng Trị",50.0,42.0,42.0,42.5,48.2,42.5,50.9,49.3,51.8,42.3,53.6,52.8,53.6,52.8,55.6,57.2
"Thừa Thiên Huế",54.2,52.0,50.7,56.9,55.5,49.1,58.5,58.2,59.2,57.8,60.8,56.9,58.7,59.3,57.2,59.3
"Đà Nẵng",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Quảng Năm",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Quảng Ngãi",56.7,52.1,55.3,57.4,56.7,55.1,57.1,55.9,58.3,58.6,58.8,58.0,58.4,57.8,57.0,59.5
"Bình Định",58.7,57.3,56.7,59.5,59.8,60.5,59.0,61.4,63.9,64.3,64.2,63.5,64.6,64.6,65.7,67.8
"Phú Yên",65.9,63.2,64.6,68.5,64.7,65.0,64.6,66.4,70.4,68.8,69.3,64.8,73.1,68.2,69.5,70.2
"Khánh Hoà",51.5,52.3,53.3,56.3,55.7,57.4,57.6,56.9,58.8,57.4,57.8,56.2,57.2,58.8,59.3,61.3
"Ninh Thuận",52.9,57.9,54.1,59.2,59.3,57.5,63.8,63.4,60.9,59.1,59.9,59.8,63.4,62.2,61.6,62.0
"Bình Thuận",46.9,49.1,48.7,55.9,55.1,55.0,55.5,55.3,56.3,57.8,52.2,54.3,56.9,57.7,59.6,57.2
"Tây Nguyên",43.3,42.5,41.9,45.0,48.7,48.7,49.5,50.0,52.0,52.8,56.1,49.2,54.2,55.7,54.7,53.8
"Lâm Đồng",43.3,42.5,41.9,45.0,48.7,48.7,49.5,50.0,52.0,52.8,56.1,49.2,54.2,55.7,54.7,53.8
"Đông Năm Bộ",42.7,43.5,42.8,46.4,47.2,47.5,48.6,49.4,50.0,50.9,52.2,52.0,53.0,53.9,54.4,55.1
"Tây Ninh",45.0,45.9,44.7,47.8,48.6,49.0,50.3,51.0,51.4,52.6,53.2,52.6,52.9,53.7,53.2,53.7
"Bình Dương",34.3,35.0,37.6,38.4,37.4,37.8,39.4,37.6,38.1,40.0,40.0,37.9,38.5,39.4,41.5,39.7
"Đồng Nai",42.3,43.2,42.4,47.4,48.5,48.8,49.5,50.5,51.7,51.5,53.3,52.7,55.2,56.3,57.4,58.2
"Bà Rịa - Vũng Tàu",33.9,35.3,33.9,40.0,41.0,40.9,42.2,44.4,45.0,45.6,49.5,51.6,52.0,54.3,58.0,59.2
"TP.Hồ Chí Minh",37.9,37.7,38.5,40.7,41.3,41.9,42.0,43.8,43.2,45.1,46.6,48.3,50.5,50.2,52.1,54.2
"Đồng bằng sông Cửu Long",47.7,47.4,48.5,51.9,52.8,52.4,53.1,53.5,52.9,53.8,54.6,55.2,55.6,56.9,56.4,57.6
"Long An",41.4,40.3,39.9,46.8,45.3,45.7,45.4,46.9,47.5,45.7,49.5,47.6,49.3,49.9,49.7,53.4
"Tiền Giang",47.4,47.2,48.3,49.3,50.2,51.3,53.1,53.7,54.2,55.9,55.9,55.0,54.5,58.5,57.0,56.0
"Bến Tre",42.2,39.8,39.2,46.6,47.4,43.7,42.7,40.1,40.1,41.6,44.8,45.7,34.7,46.6,48.5,52.1
"Trà Vinh",47.8,48.1,46.6,53.3,54.2,51.8,50.7,52.3,47.9,49.0,52.5,51.8,50.3,51.4,47.6,51.8
"Vĩnh Long",42.6,44.4,46.1,51.6,52.8,54.2,54.9,55.0,47.5,53.3,56.5,56.1,57.3,55.4,53.8,55.1
"Đồng Tháp",48.7,50.2,51.8,55.0,55.4,55.6,56.1,56.9,57.7,59.3,60.1,60.5,61.3,61.8,63.2,62.8
"An Giang",55.1,54.4,55.4,56.3,56.5,56.4,56.4,56.2,52.6,55.1,56.7,57.8,58.3,60.3,60.5,60.6
"Kiên Giang",48.0,46.1,46.1,49.9,52.9,52.3,53.1,53.5,54.4,54.6,51.3,53.8,55.8,55.9,56.1,56.0
"Cần Thơ",45.1,44.8,47.0,48.1,48.4,49.3,50.0,50.7,51.0,53.7,54.0,55.7,57.1,57.8,57.2,56.8
"Hậu Giang",42.6,43.6,42.9,44.1,45.9,47.2,48.7,53.1,55.0,56.7,58.0,58.1,58.0,60.0,58.9,58.8
"Sóc Trăng",51.1,50.4,52.9,58.9,60.6,56.2,59.9,56.3,56.4,56.3,56.1,56.1,52.4,57.5,54.7,57.5
"Bắc Liêu",47.8,46.2,50.5,54.0,53.7,54.8,55.4,57.4,57.6,56.6,58.0,58.7,58.2,59.3,58.6,62.0
"Cà Mau",38.8,39.3,43.1,45.3,47.7,45.4,43.2,41.8,44.8,42.6,41.3,46.8,38.8,48.5,46.5,49.5
