"Sản lượng lúa hè thu và thu đông phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",11395.7,11212.2,11686.1,13402.9,13958.0,14623.4,14479.2,15341.3,15232.1,15461.2,15176.4,14923.1,14780.1,15163.5,14456.0,15057.1
"Bắc Trung Bộ và Duyên hải miền Trung",1713.8,1710.7,1549.8,1781.3,1812.4,1737.9,1840.6,1782.5,1859.1,1951.4,1914.2,1785.2,1793.8,1994.0,1982.5,2000.9
"Nghệ An",292.7,285.8,201.3,251.9,268.2,271.3,281.6,275.0,270.2,289.8,263.8,242.5,264.2,318.0,309.9,291.7
"Hà Tĩnh",186.1,188.2,142.6,180.6,183.3,171.5,189.7,203.9,199.9,199.8,200.5,174.3,207.9,229.8,224.1,224.1
"Quảng Bình",91.8,93.9,82.5,94.8,93.8,84.8,97.6,94.6,99.7,99.8,99.3,75.4,90.0,102.4,95.3,97.4
"Quảng Trị",97.0,89.0,89.0,91.9,105.5,94.8,113.6,99.0,114.9,95.2,121.6,119.3,121.2,119.3,126.8,128.9
"Thừa Thiên Huế",132.2,132.5,129.8,145.0,142.0,124.7,148.7,150.7,153.8,148.0,155.1,145.2,149.1,150.3,139.5,149.5
"Đà Nẵng",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Quảng Năm",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Quảng Ngãi",178.0,165.0,175.4,183.1,188.4,186.7,187.9,188.9,200.0,201.0,201.0,193.6,182.7,196.2,200.6,207.7
"Bình Định",237.2,238.2,234.3,252.1,256.6,231.1,250.2,259.9,259.4,280.3,280.5,271.8,246.0,266.5,280.5,281.8
"Phú Yên",156.1,151.7,153.7,167.2,158.4,162.5,157.7,162.8,174.5,171.3,171.8,160.1,176.1,167.5,173.2,173.7
"Khánh Hoà",93.2,97.2,92.7,105.3,106.3,107.3,97.9,50.1,79.9,106.1,105.2,101.7,38.9,106.0,106.2,111.5
"Ninh Thuận",68.3,79.3,60.0,84.7,86.0,78.8,81.6,73.5,75.5,100.4,86.2,88.5,69.7,90.4,96.8,100.9
