"Diện tích gieo trồng lúa mùa phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",2018.4,2017.9,1967.5,1969.1,1977.8,1986.1,1965.6,1790.9,1735.3,1711.4,1683.3,1612.0,1585.8,1558.5,1552.6,1546.2
"Đồng bằng sông Hồng",586.9,584.2,581.4,578.5,573.5,568.6,564.8,557.9,548.3,535.2,516.4,497.3,484.4,478.9,469.3,460.2
"Hà Nội",105.5,103.7,102.9,102.9,102.7,102.0,101.2,99.6,97.7,93.0,86.4,81.1,78.7,77.1,74.9,72.5
"Hà Tây",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",28.1,29.1,28.4,28.5,28.3,28.1,27.8,27.6,27.2,26.6,25.6,23.9,24.0,24.0,23.7,23.5
"Bắc Ninh",38.2,37.5,37.2,36.9,36.1,36.1,36.4,35.9,35.2,34.2,32.7,32.5,31.5,30.7,29.7,29.0
"Quảng Ninh",28.3,27.7,26.9,26.7,26.4,25.8,25.9,25.5,25.3,25.1,24.7,24.3,23.3,23.1,22.3,21.9
"Hải Dương",63.2,63.0,63.4,63.0,62.8,62.5,62.0,60.9,59.6,58.8,57.9,57.1,55.9,55.2,54.6,54.0
"Hải Phòng",43.1,42.3,41.7,41.1,40.7,40.2,39.6,39.1,38.3,37.2,35.1,32.3,29.6,29.3,28.8,28.2
"Hưng Yên",41.4,41.2,41.3,41.3,41.1,40.3,39.4,38.8,37.0,35.0,33.0,31.0,29.1,28.0,26.6,25.0
"Thái Bình",84.1,83.9,83.7,83.3,81.7,81.3,81.3,80.9,80.4,79.6,78.9,77.6,77.4,76.7,76.0,75.0
"Hà Nam",35.9,35.7,35.5,35.3,34.8,34.4,34.0,33.7,33.2,32.5,31.9,31.0,30.3,29.9,29.3,28.8
"Nam Định",79.8,80.3,80.9,80.3,79.6,78.9,78.6,78.3,77.3,76.6,75.2,73.5,72.9,73.1,72.0,71.2
"Ninh Bình",39.3,39.8,39.5,39.2,39.3,39.0,38.6,37.6,37.1,36.6,35.0,33.0,31.7,31.8,31.4,31.2
"Trung du và miền núi phía Bắc",427.6,430.3,429.9,430.2,432.4,441.2,439.1,432.8,429.6,429.5,424.2,421.6,418.5,417.2,415.1,410.2
"Hà Giang",27.1,27.1,27.2,27.3,27.5,27.7,27.9,27.2,28.2,28.3,28.3,28.2,28.3,28.4,28.4,28.2
"Cao Bằng",27.5,26.6,27.5,26.8,27.5,27.0,27.1,27.2,25.3,26.8,26.7,26.6,25.4,25.6,26.6,26.1
"Bắc Kạn",14.1,14.3,14.4,14.6,14.6,15.1,15.3,15.5,15.0,15.0,14.6,14.5,14.2,14.3,14.1,13.9
"Tuyên Quang",25.7,25.8,25.7,25.8,25.7,25.6,25.5,25.4,25.1,25.3,25.2,25.1,25.2,25.1,24.8,24.3
"Lào Cai",19.5,20.1,20.6,20.9,20.8,20.7,20.9,20.7,21.5,22.2,23.5,23.5,23.9,23.9,23.6,24.1
"Yên Bái",22.7,23.9,23.6,23.3,22.2,21.8,21.9,21.9,23.0,22.9,22.4,23.2,23.2,23.1,23.0,23.1
"Thái Nguyên",41.5,41.2,41.5,41.6,42.4,42.1,42.1,41.9,41.3,40.8,40.6,40.2,39.9,39.4,39.0,38.5
"Lạng Sơn",34.1,34.1,34.2,34.1,34.2,34.7,34.6,34.4,33.9,33.8,33.3,33.0,32.5,32.2,32.5,32.4
"Bắc Giang",59.8,59.2,59.3,59.2,58.9,58.4,59.0,57.9,56.3,55.0,53.5,52.9,51.8,51.2,50.0,49.0
"Phú Thọ",32.8,34.4,33.3,33.9,32.5,33.1,32.6,32.2,30.6,30.1,27.5,25.2,25.0,24.1,23.5,22.8
"Điện Biên",35.6,37.0,38.5,39.6,40.1,40.7,40.9,40.6,41.1,41.1,42.0,42.1,42.8,43.9,45.3,45.7
"Lai Châu",25.4,24.8,24.9,23.8,23.1,24.2,24.2,24.5,25.0,26.2,25.4,26.1,25.9,25.5,25.2,24.6
"Sơn La",36.4,36.4,35.1,34.7,38.1,45.6,42.9,40.5,39.9,38.9,38.6,38.4,39.1,38.4,37.1,35.5
"Hoà Bình",25.4,25.4,24.1,24.6,24.8,24.5,24.2,22.9,23.4,23.1,22.6,22.6,21.3,22.1,22.0,21.9
"Bắc Trung Bộ và Duyên hải miền Trung",337.6,324.7,318.9,322.8,316.8,312.1,312.0,306.2,303.5,305.6,292.0,274.4,265.5,264.4,252.1,251.9
"Thanh Hoá",136.5,136.8,132.3,135.0,134.1,133.8,134.6,132.4,130.5,128.3,124.9,119.7,115.0,116.6,115.0,112.0
"Nghệ An",41.7,32.5,37.7,43.3,38.0,35.6,38.4,39.3,39.9,37.0,35.0,29.0,28.9,25.9,21.4,20.8
"Hà Tĩnh",6.6,5.0,4.1,3.4,2.6,2.0,1.7,1.8,1.2,0.7,0.5,0.5,0.5,0.5,0.4,0.3
"Quảng Bình",0.9,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.3
"Quảng Trị",4.5,3.1,3.1,2.6,2.4,2.4,2.3,2.0,1.9,2.0,2.0,1.9,2.0,1.7,1.6,1.5
"Thừa Thiên Huế",0.7,0.7,0.6,0.6,0.8,0.7,0.6,0.6,0.6,0.7,0.6,0.4,0.4,0.2,0.2,0.2
"Đà Nẵng",3.9,3.8,3.3,3.0,2.7,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.2,2.2,2.3,2.2
"Quảng Năm",45.1,44.7,43.0,44.8,45.3,44.8,43.8,45.0,43.7,44.1,43.7,42.7,41.6,41.1,41.6,41.4
"Quảng Ngãi",6.1,4.2,4.0,3.6,2.7,2.0,2.3,2.6,2.4,2.4,2.2,1.8,1.9,1.1,1.2,1.3
"Bình Định",27.4,24.9,24.1,22.2,20.6,18.6,16.1,15.3,13.4,14.2,11.7,9.0,7.9,7.0,4.3,4.3
