"Năng suất gieo trồng lúa mùa phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",43.6,44.8,46.3,46.8,48.0,47.1,49.1,48.3,47.4,45.9,49.1,50.2,51.1,51.7,53.0,53.3
"Đồng bằng sông Hồng",55.0,54.4,55.3,54.9,54.8,52.2,55.0,55.4,54.0,47.6,54.0,55.6,57.1,57.3,57.4,57.3
"Hà Nội",42.4,53.3,52.0,56.5,55.3,52.0,54.8,55.5,51.6,49.1,51.0,53.9,57.8,58.5,58.4,58.1
"Hà Tây",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",49.5,50.7,50.5,53.0,40.7,43.5,52.2,51.6,41.1,48.6,52.8,52.4,54.3,56.2,55.5,56.6
"Bắc Ninh",53.1,54.8,54.0,56.5,56.0,50.0,57.8,57.8,59.0,55.6,57.4,59.4,62.6,63.4,63.4,61.6
"Quảng Ninh",44.3,41.6,44.1,44.1,46.6,45.9,45.6,46.5,47.2,42.0,47.3,47.2,49.1,49.4,49.2,49.1
"Hải Dương",57.0,57.2,58.4,55.6,58.0,54.0,55.2,56.0,56.1,46.2,53.7,56.1,58.1,60.0,59.4,60.1
"Hải Phòng",53.2,55.8,56.5,54.3,55.1,56.6,56.9,57.2,56.7,51.9,57.2,57.6,58.8,58.4,58.7,59.0
"Hưng Yên",60.3,61.2,61.8,59.9,61.1,56.8,57.5,57.9,57.6,53.0,57.6,60.5,58.1,58.6,58.2,58.4
"Thái Bình",62.0,62.0,62.2,59.2,58.5,58.7,59.6,60.4,60.1,47.2,59.2,60.5,61.2,59.2,59.8,59.8
"Hà Nam",55.4,56.1,55.2,55.2,57.0,49.6,53.4,55.1,54.2,47.0,55.3,57.4,57.8,57.8,57.7,57.9
"Nam Định",52.5,44.9,51.9,49.1,50.1,49.0,52.2,52.2,51.5,42.4,50.2,51.5,52.1,52.0,52.9,52.9
"Ninh Bình",52.7,56.8,55.3,55.1,55.5,48.0,54.2,53.3,52.0,45.1,53.3,53.7,54.1,54.5,55.2,54.2
"Trung du và miền núi phía Bắc",40.9,41.5,42.1,42.6,43.7,42.2,44.1,44.2,45.4,44.2,45.4,46.2,47.2,47.6,48.4,48.8
"Hà Giang",45.1,50.5,53.5,54.1,54.7,55.1,55.5,55.1,56.0,56.1,56.5,56.8,57.3,57.7,57.2,57.9
"Cao Bằng",37.9,37.5,40.2,37.4,38.8,40.0,40.6,41.4,42.1,42.7,42.8,44.2,44.3,44.9,46.4,46.3
