"Sản lượng lúa mùa phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",9007.2,9042.2,9102.7,9217.3,9487.9,9346.0,9644.9,8658.0,8230.4,7861.9,8265.0,8098.6,8106.2,8055.8,8226.5,8245.9
"Đồng bằng sông Hồng",3180.5,3175.8,3212.8,3176.9,3142.1,2967.9,3108.3,3093.5,2961.8,2549.5,2789.1,2766.5,2765.2,2741.8,2692.8,2637.8
"Hà Nội",572.8,552.7,535.1,581.5,568.2,530.9,554.8,552.8,503.9,456.7,440.3,436.8,455.0,451.1,437.1,421.4
"Hà Tây",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",136.3,147.4,143.3,151.1,115.3,122.1,145.2,142.3,111.8,129.2,135.1,125.3,130.3,134.8,131.6,133.2
"Bắc Ninh",199.0,205.5,200.8,208.4,202.3,180.4,210.5,207.4,207.8,190.0,187.7,193.2,197.2,194.7,188.2,178.5
"Quảng Ninh",117.9,115.2,118.5,117.7,123.1,118.5,118.0,118.6,119.3,105.5,116.9,114.7,114.3,114.1,109.8,107.5
"Hải Dương",344.4,360.1,370.0,350.0,364.3,337.5,342.1,341.2,334.2,271.4,311.0,320.4,324.8,331.4,324.4,324.6
"Hải Phòng",221.6,236.0,235.4,223.1,224.2,227.6,225.4,223.6,217.0,192.9,200.8,186.1,174.1,171.2,169.0,166.1
"Hưng Yên",249.2,252.0,255.1,247.2,251.2,228.9,226.7,224.8,213.0,185.4,190.1,187.4,169.0,164.1,154.8,145.8
"Thái Bình",515.8,520.5,520.7,492.8,478.3,477.5,484.4,488.5,483.6,375.8,467.1,469.1,474.0,454.1,454.8,448.5
"Hà Nam",202.1,200.2,195.8,194.9,198.4,170.5,181.7,185.6,179.9,152.8,176.3,177.8,175.1,172.9,169.0,166.8
"Nam Định",409.6,360.3,419.5,394.4,398.6,386.8,410.2,408.4,398.4,324.6,377.2,378.4,379.9,380.2,380.9,376.6
"Ninh Bình",211.8,225.9,218.6,215.8,218.2,187.2,209.3,200.3,192.9,165.2,186.6,177.3,171.5,173.2,173.2,169.0
"Trung du và miền núi phía Bắc",1708.7,1785.7,1809.6,1833.3,1888.4,1862.4,1938.4,1914.0,1951.2,1896.7,1925.4,1947.5,1977.1,1987.5,2008.2,2001.4
"Hà Giang",123.0,136.9,145.5,147.6,150.5,152.7,154.8,150.0,157.9,158.8,160.0,160.2,162.3,163.8,162.5,163.4
"Cao Bằng",105.8,99.7,110.6,100.3,106.8,107.9,110.1,112.5,106.4,114.5,114.2,117.6,112.6,114.9,123.3,120.9
"Bắc Kạn",61.0,60.3,58.1,57.4,63.1,64.7,67.7,67.4,66.9,62.9,65.0,68.5,68.7,68.2,68.6,67.9
"Tuyên Quang",146.7,146.0,147.1,147.8,147.3,145.6,146.0,145.7,144.5,144.5,143.9,144.4,145.6,146.1,145.7,143.9
"Lào Cai",71.8,79.6,76.9,89.0,89.5,91.9,93.6,93.7,100.3,100.4,112.2,115.6,121.1,121.8,123.2,126.4
