"Diện tích gieo trồng ngô phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",1140.2,1089.2,1125.7,1121.3,1156.6,1170.4,1179.0,1178.9,1152.7,1099.5,1032.9,986.7,942.5,902.8,887.2,884.6
"Đồng bằng sông Hồng",98.4,72.7,97.6,96.0,86.4,88.3,88.1,91.3,89.8,87.5,78.1,70.1,64.4,60.5,59.1,56.6
"Hà Nội",25.9,18.4,25.0,24.3,20.5,20.7,20.2,21.1,19.9,19.1,16.9,15.6,13.8,13.2,13.6,12.2
"Hà Tây",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",18.5,7.9,17.8,16.9,13.7,15.8,15.1,16.1,16.0,15.1,14.3,11.2,9.6,9.2,9.6,9.0
"Bắc Ninh",2.5,2.4,2.6,2.8,4.3,3.8,3.7,3.6,3.1,2.4,2.1,1.6,1.3,1.1,1.0,0.9
"Quảng Ninh",6.8,6.3,6.6,6.3,6.0,5.8,5.9,5.9,5.8,5.7,5.3,5.4,6.1,5.6,5.8,5.9
"Hải Dương",4.4,3.9,4.7,4.2,3.6,4.2,4.1,4.0,4.2,4.2,3.9,3.6,3.6,3.6,3.5,3.4
"Hải Phòng",1.9,1.9,2.6,2.6,1.8,1.6,1.3,1.1,1.2,1.0,0.9,0.9,1.0,1.1,1.0,1.0
"Hưng Yên",9.2,6.9,8.6,8.7,7.8,8.4,8.4,8.5,8.1,7.8,6.9,5.3,4.2,3.4,3.2,3.1
"Thái Bình",9.3,8.5,9.2,9.2,9.3,9.3,10.1,11.1,12.1,13.1,11.5,10.7,10.8,10.3,9.0,8.8
"Hà Nam",8.4,6.1,8.5,8.8,8.6,8.4,8.7,8.7,8.4,8.3,7.0,6.6,5.5,5.4,5.3,5.1
"Nam Định",4.6,4.4,4.9,5.0,4.7,4.2,4.3,4.4,4.4,4.7,4.2,3.7,3.3,2.9,2.9,2.8
"Ninh Bình",6.9,6.0,7.1,7.2,6.1,6.1,6.3,6.8,6.6,6.1,5.1,5.5,5.2,4.8,4.3,4.3
"Trung du và miền núi phía Bắc",459.2,443.2,460.6,465.7,502.0,504.5,515.3,518.9,509.5,490.1,455.9,435.2,426.4,414.4,406.1,404.9
"Hà Giang",46.4,46.8,47.6,49.9,52.5,52.6,54.2,54.8,53.5,53.7,53.9,54.2,54.7,54.4,54.7,55.1
"Cao Bằng",38.4,37.2,38.5,39.0,39.3,38.8,39.0,39.9,40.1,40.2,39.9,39.4,40.7,41.3,41.2,41.6
"Bắc Kạn",16.7,16.0,15.9,16.9,16.5,16.4,16.6,16.4,16.4,15.8,15.0,14.4,14.2,14.4,14.3,14.2
"Tuyên Quang",16.2,14.8,16.7,16.5,14.1,16.2,15.9,18.6,18.4,18.6,17.5,18.7,19.2,18.5,18.5,18.8
"Lào Cai",28.8,29.6,31.1,32.7,33.7,34.7,39.1,36.8,37.6,38.1,37.8,37.7,38.2,36.4,35.1,34.8
"Yên Bái",17.4,18.5,22.6,24.9,24.7,26.7,28.5,28.2,28.6,28.2,28.5,28.8,29.4,29.5,29.2,29.0
