"Năng suất ngô phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",40.1,40.1,41.1,43.1,43.0,44.4,44.1,44.8,45.5,46.5,47.2,48.0,48.4,49.3,49.9,50.2
"Đồng bằng sông Hồng",43.6,42.4,45.2,46.2,46.7,46.1,47.1,48.1,48.1,49.2,49.7,50.7,51.0,51.9,52.6,52.5
"Hà Nội",42.9,40.8,45.0,46.0,48.5,48.3,48.5,48.6,48.8,49.4,49.7,50.3,51.6,52.7,53.2,52.9
"Hà Tây",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",39.7,33.4,41.8,41.3,40.7,41.3,42.6,43.2,41.6,43.4,45.2,46.9,47.9,48.3,45.8,47.3
"Bắc Ninh",39.2,36.7,41.2,44.6,43.0,48.2,47.6,48.6,50.0,51.7,49.0,53.8,53.1,52.8,54.4,54.9
"Quảng Ninh",35.0,35.9,36.4,37.8,37.5,38.4,38.1,39.3,40.5,40.9,40.2,41.5,40.5,41.9,50.0,46.8
"Hải Dương",48.9,49.5,47.7,49.0,50.8,50.0,51.2,53.5,54.0,55.5,57.7,62.2,60.8,62.0,62.9,63.7
"Hải Phòng",50.5,53.2,52.7,52.7,50.0,49.4,48.5,52.7,49.2,53.0,54.4,51.1,51.0,53.2,52.6,52.6
"Hưng Yên",51.3,51.2,56.6,58.4,59.4,54.6,56.0,57.8,58.1,59.0,60.0,59.4,58.6,60.0,60.1,58.5
"Thái Bình",52.7,52.8,53.6,53.8,54.4,48.2,54.1,55.3,54.5,54.1,55.0,56.7,56.6,57.4,58.3,58.4
"Hà Nam",48.2,47.4,49.2,50.3,51.7,50.5,50.0,54.1,52.9,54.6,52.7,55.2,56.2,56.6,56.7,57.2
"Nam Định",41.5,40.7,41.8,42.0,42.3,42.4,43.3,44.5,44.8,46.2,47.4,48.1,50.6,51.9,52.4,53.0
"Ninh Bình",34.9,31.8,32.5,35.8,30.8,35.2,34.3,31.6,35.9,36.4,36.5,36.7,37.3,37.6,38.3,38.8
"Trung du và miền núi phía Bắc",33.6,34.2,33.3,36.5,36.7,37.6,36.7,36.9,38.1,38.8,39.5,39.5,40.3,40.9,41.6,40.9
"Hà Giang",24.1,26.2,28.6,31.1,32.1,33.6,32.9,34.0,34.6,34.7,35.6,35.4,36.3,36.8,37.0,35.2
"Cao Bằng",29.3,29.5,30.2,32.0,32.3,33.8,32.8,33.5,34.3,35.8,35.8,36.3,36.9,37.9,38.0,36.0
"Bắc Kạn",35.0,34.8,36.0,38.3,37.5,40.8,38.6,41.3,40.5,40.5,42.3,42.4,43.6,43.4,43.5,39.6
"Tuyên Quang",41.2,42.4,42.3,43.9,42.8,43.8,42.8,43.5,43.7,43.9,44.5,44.3,45.6,46.4,46.3,46.3
"Lào Cai",28.0,31.3,32.7,33.6,34.3,35.2,30.1,36.2,36.9,38.5,40.2,41.3,41.9,42.1,43.1,38.9
"Yên Bái",26.0,26.7,28.6,29.2,30.6,31.6,29.3,33.0,33.4,33.5,34.2,34.3,34.7,35.3,35.8,36.3
"Thái Nguyên",41.1,39.1,42.0,43.2,42.7,42.9,40.6,41.9,42.8,44.6,46.5,46.9,47.7,49.2,49.2,49.6
"Lạng Sơn",45.8,46.2,48.1,48.2,47.6,47.9,45.6,47.2,48.7,49.4,50.1,50.2,50.2,50.1,50.1,51.0
"Bắc Giang",32.7,34.1,36.5,37.7,39.1,38.0,39.0,39.5,40.2,40.2,40.4,41.3,42.0,42.1,41.6,42.5
"Phú Thọ",38.7,38.7,43.7,44.1,45.5,45.4,45.9,46.6,46.6,47.8,48.2,48.2,48.4,49.0,49.4,48.8
"Điện Biên",22.2,22.6,23.2,23.8,24.5,25.3,25.5,25.7,26.2,26.2,26.6,27.2,27.7,28.3,29.8,30.3
"Lai Châu",22.1,23.1,25.8,26.4,27.8,27.0,28.1,29.1,30.7,33.0,33.2,33.5,33.5,35.7,36.6,37.1
"Sơn La",38.1,38.9,31.5,39.8,39.6,40.2,40.5,36.8,39.3,40.7,41.5,41.1,42.7,43.4,44.8,45.0
"Hoà Bình",39.3,39.1,40.7,41.9,39.7,41.6,40.5,41.8,43.2,41.9,44.1,43.9,44.0,45.3,46.4,47.4
"Bắc Trung Bộ và Duyên hải miền Trung",38.4,38.3,39.9,40.3,40.8,43.3,41.5,44.2,45.3,45.7,46.0,47.1,48.3,48.7,49.0,50.0
"Thanh Hoá",38.1,38.7,39.7,40.5,40.7,42.0,40.5,43.2,44.0,44.6,43.6,45.1,47.0,47.5,47.6,47.3
"Nghệ An",36.4,34.4,37.3,36.5,35.9,41.0,34.7,40.0,42.6,43.2,42.8,44.9,44.7,45.4,46.2,47.0
"Hà Tĩnh",24.9,29.2,34.3,28.5,29.1,34.9,30.0,37.0,37.0,36.9,38.3,40.4,44.5,43.4,45.0,47.0
"Quảng Bình",41.4,45.9,42.4,45.7,46.3,48.4,47.6,49.6,51.0,51.8,53.8,53.0,55.3,61.1,59.5,59.4
"Quảng Trị",20.8,23.0,23.1,21.9,26.1,26.4,29.5,30.0,31.5,33.3,34.3,36.3,34.2,34.4,30.0,34.7
"Thừa Thiên Huế",33.1,35.6,37.5,36.5,40.6,40.0,38.8,39.4,39.4,39.4,41.3,40.0,40.7,40.2,39.5,40.5
"Đà Nẵng",52.2,54.4,58.8,55.0,58.3,60.0,50.0,52.5,52.0,60.0,60.0,55.0,55.0,60.0,56.9,58.3
