"Diện tích gieo trồng khoai lang phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",162.6,146.6,150.8,146.8,141.7,135.0,130.1,127.6,120.3,121.8,117933.0,116967.0,109043.0,98257.0,86230.6,79734.6
"Đồng bằng sông Hồng",32.3,22.8,27.0,26.1,24.1,22.4,21.3,21.2,18.7,17.4,16966.0,16478.0,14965.0,13271.0,12888.7,12466.8
"Hà Nội",7.5,4.2,5.9,5.1,4.4,4.0,3.4,4.0,3.5,3.2,2614.0,2293.0,1945.0,1608.0,1584.7,1322.7
"Hà Tây",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",3.2,1.8,3.1,2.8,2.6,2.5,2.7,2.6,2.2,2.1,2276.0,2216.0,2063.0,1779.0,1697.1,1644.5
"Bắc Ninh",1.2,0.6,1.0,0.9,0.8,0.6,0.6,0.5,0.3,0.2,195.0,150.0,143.0,131.0,113.0,117.7
"Quảng Ninh",4.6,4.3,4.5,4.5,4.2,4.0,4.0,3.9,3.8,3.5,3411.0,3300.0,3169.0,2882.0,2940.0,2847.3
"Hải Dương",1.5,1.3,1.2,1.2,1.0,0.9,0.9,0.8,0.7,0.9,911.0,835.0,741.0,696.0,752.0,742.0
"Hải Phòng",1.7,1.5,1.4,1.5,1.3,1.4,1.0,0.9,0.8,0.7,706.0,758.0,669.0,695.0,745.7,773.3
"Hưng Yên",1.4,0.7,0.7,0.8,0.7,0.7,0.6,0.5,0.5,0.5,446.0,424.0,383.0,269.0,219.0,216.2
"Thái Bình",4.4,3.5,3.6,3.8,4.0,3.2,3.5,3.5,3.2,2.9,3242.0,3504.0,3416.0,3095.0,2700.7,2791.0
"Hà Nam",0.8,0.5,0.5,0.7,0.8,0.8,0.7,0.6,0.6,0.5,458.0,458.0,437.0,414.0,386.2,417.4
"Nam Định",3.5,2.3,2.4,2.1,2.1,1.9,1.8,1.7,1.5,1.4,1343.0,1359.0,1195.0,1033.0,857.1,840.3
"Ninh Bình",2.5,2.1,2.7,2.7,2.2,2.4,2.1,2.2,1.6,1.5,1364.0,1182.0,805.0,669.0,893.3,754.3
"Trung du và miền núi phía Bắc",41.4,38.1,38.9,37.3,34.7,34.9,33.4,33.3,31.3,31.4,29366.0,27732.0,26032.0,24708.0,22543.2,21250.2
"Hà Giang",1.5,1.6,1.4,1.6,1.6,1.5,1.7,2.1,1.9,2.0,1903.0,1777.0,1933.0,1868.0,1708.9,1685.3
"Cao Bằng",1.7,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1319.0,1304.0,1239.0,1271.0,1059.2,946.7
"Bắc Kạn",0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,479.0,528.0,517.0,538.0,552.2,513.0
"Tuyên Quang",4.5,3.9,4.3,3.8,2.9,3.6,3.5,3.8,3.2,3.2,3095.0,2648.0,2179.0,2496.0,2057.1,1961.4
"Lào Cai",0.6,0.7,0.8,0.9,0.9,0.9,1.0,1.0,1.0,1.2,1170.0,1166.0,1072.0,1096.0,741.7,633.1
"Yên Bái",2.9,2.9,2.7,2.4,2.8,2.8,2.8,3.0,3.1,3.1,3004.0,3040.0,3254.0,3200.0,3202.2,3183.7
"Thái Nguyên",7.9,6.9,7.1,7.3,6.3,6.1,5.3,5.2,4.5,4.3,3642.0,3498.0,3231.0,2906.0,2717.3,2441.6
"Lạng Sơn",2.4,2.3,2.2,2.2,2.3,2.1,2.1,2.0,2.1,2.2,2153.0,1980.0,1499.0,1383.0,1421.1,1355.6
"Bắc Giang",8.9,7.9,8.1,7.7,6.7,6.6,6.1,5.9,5.6,5.5,4981.0,4777.0,4512.0,4057.0,3682.1,3452.7
"Phú Thọ",3.3,3.0,3.4,2.8,2.8,2.9,2.6,2.3,2.1,2.0,1557.0,1498.0,1230.0,939.0,778.0,713.6
"Điện Biên",0.4,0.5,0.6,0.5,0.6,0.6,0.7,0.6,0.6,0.6,633.0,490.0,446.0,388.0,358.5,361.0
"Lai Châu",0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,356.0,291.0,267.0,271.0,312.3,212.6
"Sơn La",0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.2,0.2,0.3,330.0,330.0,369.0,325.0,310.0,260.0
"Hoà Bình",5.4,4.9,5.3,5.1,5.0,5.0,4.9,4.9,4.8,4.8,4745.0,4406.0,4285.0,3970.0,3642.7,3529.9
"Bắc Trung Bộ và Duyên hải miền Trung",61.1,55.4,53.9,49.5,45.1,42.7,37.6,35.9,32.3,30.2,27074.0,25996.0,23438.0,21971.0,21395.0,20362.7
"Thanh Hoá",13.7,12.5,11.5,11.5,10.4,9.7,8.9,8.3,7.4,7.5,6422.0,6635.0,6327.0,5954.0,5346.4,5020.3
"Nghệ An",12.2,11.1,11.4,10.4,8.7,8.1,6.3,6.1,5.3,4.1,4090.0,3877.0,3625.0,3442.0,3433.8,3161.1
"Hà Tĩnh",12.8,10.1,9.4,7.9,6.7,6.7,5.9,5.6,4.7,4.2,3692.0,3720.0,3441.0,3571.0,3761.6,3450.2
"Quảng Bình",4.2,4.0,4.1,4.1,4.0,3.9,3.7,3.7,3.7,3.5,3482.0,3218.0,3082.0,2998.0,2993.6,2707.9
"Quảng Trị",3.4,3.3,3.2,2.9,2.9,2.7,2.6,2.4,2.4,2.5,2282.0,2037.0,1757.0,1512.0,1434.7,1334.2
"Thừa Thiên Huế",4.3,4.2,4.3,4.1,4.1,3.8,3.4,3.2,3.0,2.7,1914.0,1728.0,1254.0,710.0,663.3,628.7
"Đà Nẵng",0.5,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,273.0,273.0,264.0,255.0,230.8,111.6
"Quảng Năm",7.2,6.6,6.7,5.5,5.3,4.9,4.4,4.3,4.0,3.6,3116.0,2655.0,2337.0,2200.0,2242.7,2172.3
"Quảng Ngãi",0.9,0.7,0.7,0.6,0.7,0.6,0.4,0.4,0.3,0.4,340.0,305.0,288.0,226.0,234.4,230.6
"Bình Định",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,305.0,244.0,177.0,170.0,211.6,199.1
"Phú Yên",0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,94.0,73.0,81.0,84.0,69.8,60.5
"Khánh Hoà",0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,216.0,176.0,135.0,122.0,116.9,109.2
"Ninh Thuận",0.1,0.4,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.3,271.0,259.0,174.0,215.0,233.6,230.7
"Bình Thuận",1.1,1.1,1.1,1.1,1.0,1.0,0.9,0.8,0.5,0.5,578.0,796.0,495.0,513.0,421.8,946.3
"Tây Nguyên",13.0,14.0,14.1,14.1,14.0,13.9,13.7,14.5,16.7,17.8,19047.0,22270.0,22784.0,21099.0,22699.4,19811.2
"Kon Tum",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,164.0,150.0,187.0,232.0,649.1,717.9
"Gia Lai",1.5,1.6,1.7,1.4,1.5,1.3,1.9,1.7,1.9,2.6,2623.0,5232.0,4467.0,4490.0,5200.8,5310.7
"Đắk Lắk",3.6,3.7,3.4,3.2,3.3,3.0,2.8,3.2,4.8,5.8,6895.0,7669.0,8507.0,7074.0,7358.3,5570.9
"Đắk Nông",4.8,6.0,6.6,7.1,7.1,7.9,7.4,8.1,8.0,7.0,7037.0,6844.0,7000.0,6619.0,6607.8,5474.6
"Lâm Đồng",2.9,2.5,2.2,2.3,2.0,1.6,1.5,1.4,1.8,2.2,2328.0,2376.0,2624.0,2684.0,2883.5,2737.2
"Đông Năm Bộ",2.1,2.1,2.0,1.9,1.4,1.3,1.0,1.3,1.5,1.4,1515.0,1788.0,1058.0,1117.0,934.5,519.6
"Bình Phước",0.7,0.9,0.8,0.7,0.5,0.5,0.4,0.4,0.5,0.7,529.0,552.0,481.0,584.0,467.5,67.8
"Tây Ninh",0.6,0.4,0.4,0.5,0.3,0.2,0.0,0.0,0.0,..,6.0,260.0,66.0,28.0,1.0,4.6
"Bình Dương",0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,188.0,190.0,173.0,175.0,181.3,159.3
"Đồng Nai",0.3,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,445.0,460.0,285.0,216.0,229.0,224.3
"Bà Rịa - Vũng Tàu",0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.3,0.2,293.0,293.0,22.0,91.0,39.7,45.3
