"Sản lượng khoai lang phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",1325.6,1211.3,1318.5,1362.1,1427.3,1358.1,1401.3,1335.9,1269.3,1352.8,1374.7,1432.0,1378.0,1231.5,976.4,914.7
"Đồng bằng sông Hồng",291.8,195.1,247.0,242.4,228.0,213.2,204.1,201.8,176.7,169.9,168.5,170.0,156.3,139.5,133.1,130.8
"Hà Nội",61.1,32.9,51.1,46.7,41.2,40.4,34.5,39.0,34.7,33.4,28.1,23.9,18.5,15.3,14.6,12.2
"Hà Tây",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",27.7,10.5,27.6,24.1,23.6,24.4,27.7,26.3,21.2,21.6,23.8,24.8,23.8,21.0,19.7,19.7
"Bắc Ninh",14.7,6.5,11.7,10.2,9.2,7.5,6.5,5.8,3.4,2.5,2.1,1.6,1.6,1.5,1.3,1.4
"Quảng Ninh",25.5,25.1,27.2,26.6,24.7,23.7,23.6,23.2,22.5,21.0,21.3,20.2,20.5,19.2,19.2,18.7
"Hải Dương",15.5,12.8,11.5,12.2,9.7,8.6,8.5,7.8,7.5,8.7,9.3,8.8,8.1,7.8,8.6,8.5
"Hải Phòng",18.4,16.2,16.0,15.9,13.8,14.5,10.8,9.6,8.3,7.8,7.7,8.5,7.6,7.8,8.3,8.7
"Hưng Yên",17.7,9.0,10.0,11.6,9.3,10.2,8.4,6.9,7.5,7.6,6.9,6.6,6.1,4.3,3.5,3.4
"Thái Bình",53.4,41.6,44.7,47.7,51.3,37.4,42.4,42.4,38.2,35.4,39.4,43.3,42.5,38.3,33.6,34.6
"Hà Nam",9.2,5.1,6.1,8.1,9.7,9.7,8.2,7.6,6.5,6.1,5.2,5.5,5.3,5.1,4.8,5.3
"Nam Định",29.8,20.0,21.7,18.7,18.3,17.4,15.8,14.9,13.7,13.2,13.0,15.9,14.5,12.6,10.7,10.6
