"Giá trị sản phẩm thu được trên 1 hécta đất trồng trọt và mặt nước nuôi trồng thủy sản chia theo Giá trị và chỉ số phát triển, Năm và Loại đất"

"Giá trị và Chỉ số phát triển","Năm","Đất trồng trọt"
"Giá trị (Triệu đồng)","2008",43.9
"Giá trị (Triệu đồng)","2009",45.5
"Giá trị (Triệu đồng)","2010",54.6
"Giá trị (Triệu đồng)","2011",72.2
"Giá trị (Triệu đồng)","2012",72.8
"Giá trị (Triệu đồng)","2013",75.7
"Giá trị (Triệu đồng)","2014",79.3
"Giá trị (Triệu đồng)","2015",82.6
"Giá trị (Triệu đồng)","2016",85.4
"Giá trị (Triệu đồng)","2017",90.2
"Giá trị (Triệu đồng)","2018",93.8
"Giá trị (Triệu đồng)","2019",97.9
"Giá trị (Triệu đồng)","2020",102.7
"Giá trị (Triệu đồng)","2021",105.2
"Giá trị (Triệu đồng)","2022",106.7
"Giá trị (Triệu đồng)","2023",118.3
"Chỉ số phát triển (Năm trước = 100) - %","2008",138.9
"Chỉ số phát triển (Năm trước = 100) - %","2009",103.6
"Chỉ số phát triển (Năm trước = 100) - %","2010",120.0
"Chỉ số phát triển (Năm trước = 100) - %","2011",132.2
"Chỉ số phát triển (Năm trước = 100) - %","2012",100.8
"Chỉ số phát triển (Năm trước = 100) - %","2013",104.0
"Chỉ số phát triển (Năm trước = 100) - %","2014",104.8
"Chỉ số phát triển (Năm trước = 100) - %","2015",104.2
"Chỉ số phát triển (Năm trước = 100) - %","2016",103.4
"Chỉ số phát triển (Năm trước = 100) - %","2017",105.6
"Chỉ số phát triển (Năm trước = 100) - %","2018",104.0
"Chỉ số phát triển (Năm trước = 100) - %","2019",104.4
"Chỉ số phát triển (Năm trước = 100) - %","2020",104.9
"Chỉ số phát triển (Năm trước = 100) - %","2021",102.4
"Chỉ số phát triển (Năm trước = 100) - %","2022",101.4
"Chỉ số phát triển (Năm trước = 100) - %","2023",110.9
