"Diện tích gieo trồng sắn phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",554.0,507.8,498.0,558.4,551.9,543.9,552.8,567.9,569.0,532.6,513.0,519.0,524.7,524.5,511.0,511.0
"Hà Nội",2.4,2.5,2.1,2.1,2.1,2.1,1.9,1.8,1.6,1.2,1.0,1.0,0.7,0.7,0.6,0.6
"Hà Giang",3.8,4.0,4.2,0.7,5.1,5.0,5.0,4.6,5.0,5.0,5.1,5.1,5.0,4.9,4.9,4.9
"Cao Bằng",2.1,2.1,2.3,2.6,2.7,3.0,3.2,4.0,3.5,2.9,2.7,2.8,2.2,2.9,3.4,3.4
"Bắc Kạn",2.2,2.1,2.2,2.6,2.5,3.1,2.9,3.0,2.4,1.8,1.2,0.7,0.4,0.4,0.3,0.3
"Tuyên Quang",6.3,4.4,4.6,5.7,4.8,4.3,4.2,4.6,4.4,3.9,3.3,2.6,2.3,2.1,1.5,1.5
"Lào Cai",8.2,8.5,7.8,9.7,9.3,9.2,9.1,8.9,8.8,8.4,7.0,6.1,5.5,5.5,5.7,5.7
"Yên Bái",15.8,12.8,13.6,15.3,16.2,16.9,16.5,15.8,14.8,12.7,10.6,9.8,8.7,8.7,8.1,8.1
"Thái Nguyên",4.1,3.9,3.9,3.6,3.8,3.7,3.7,3.4,3.4,2.9,2.5,2.1,1.8,1.5,1.1,1.1
"Lạng Sơn",5.1,4.8,5.1,5.9,6.0,5.5,5.0,4.5,3.9,2.8,2.1,1.6,1.1,1.0,0.9,0.9
"Bắc Giang",5.4,4.8,5.2,5.7,5.8,5.9,5.7,5.0,4.3,3.5,3.0,2.7,2.2,1.5,1.1,1.1
"Phú Thọ",7.3,7.3,7.6,8.1,9.2,8.7,8.6,8.3,8.3,7.7,6.9,6.5,5.8,5.6,5.2,5.2
"Điện Biên",7.5,7.3,7.2,7.1,7.0,7.2,7.2,7.7,7.4,7.6,7.7,7.7,8.3,8.9,12.7,12.7
"Lai Châu",5.3,6.1,5.4,4.5,4.4,4.5,4.4,4.4,4.4,4.5,5.1,5.1,5.7,6.3,6.8,6.8
