"Sản lượng sắn phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",9309.9,8530.5,8595.6,9897.9,9735.4,9757.3,10209.9,10740.2,10909.9,10267.7,9846.9,10174.9,10504.2,10565.6,10626.9,10439.2
"Hà Nội",34.2,44.2,38.4,38.1,40.2,40.6,37.8,34.9,31.8,22.9,21.0,19.0,17.3,15.4,11.6,13.6
"Hà Giang",31.1,32.9,34.2,4.7,41.5,40.3,39.5,36.3,39.8,41.2,47.6,45.6,44.7,45.9,47.5,46.4
"Cao Bằng",21.6,20.6,22.7,33.6,32.2,40.8,45.1,59.9,51.9,43.1,37.2,44.5,33.7,44.8,51.9,45.7
"Bắc Kạn",24.0,21.1,22.6,27.8,27.0,33.2,31.3,32.1,25.7,19.5,13.2,7.2,4.7,4.1,3.7,3.1
"Tuyên Quang",83.0,55.2,60.7,76.0,62.6,55.5,54.4,59.8,57.6,52.1,44.4,35.4,31.8,28.3,22.8,20.5
"Lào Cai",98.8,97.8,89.6,113.5,115.1,114.9,114.3,114.5,113.6,111.5,92.1,78.8,74.6,82.8,97.9,92.6
"Yên Bái",294.5,246.3,259.6,283.0,304.1,325.0,317.0,305.8,288.8,246.7,205.4,187.8,171.6,171.4,170.7,160.4
"Thái Nguyên",43.3,56.4,56.9,52.8,55.8,55.7,54.6,50.1,49.3,43.3,37.8,31.9,28.6,25.1,22.9,17.4
"Lạng Sơn",44.4,45.9,50.1,58.5,61.8,56.5,51.8,45.2,39.1,28.0,20.4,15.3,10.7,9.9,9.7,8.0
"Bắc Giang",67.7,62.9,70.1,80.4,81.1,82.3,82.9,71.7,63.2,52.3,45.2,40.3,33.1,23.0,18.5,16.4
"Phú Thọ",87.9,87.9,96.3,105.0,122.0,116.6,116.5,115.1,115.0,107.7,101.3,98.3,87.7,86.8,89.6,81.1
"Điện Biên",55.4,54.3,54.7,54.6,54.4,57.3,57.0,61.7,60.0,62.0,63.9,68.0,78.7,91.6,105.5,123.5
"Lai Châu",42.9,53.7,46.7,37.0,35.6,36.8,36.5,36.9,36.9,37.7,42.7,43.5,50.1,56.0,61.7,62.0
"Sơn La",270.4,267.9,295.1,351.5,352.6,345.9,371.3,359.5,386.5,377.4,412.6,433.3,432.4,487.4,553.2,526.8
"Hoà Bình",144.9,117.2,123.8,146.6,145.7,146.3,156.7,149.6,144.6,129.9,121.3,119.6,124.3,119.8,117.2,120.6
"Thanh Hoá",210.6,195.4,172.6,203.1,218.9,215.9,259.7,261.9,269.5,223.2,217.0,229.4,264.6,206.3,222.9,201.2
"Nghệ An",374.1,377.2,382.2,458.6,429.1,424.5,379.7,384.8,437.0,345.4,305.2,324.3,315.8,322.1,333.3,302.8
"Hà Tĩnh",49.8,50.8,39.9,54.5,53.2,47.3,58.6,65.3,42.9,40.5,42.3,43.3,41.9,37.0,40.0,39.2
"Quảng Bình",96.1,92.3,94.6,96.2,97.3,98.8,108.2,114.6,129.1,118.7,109.3,111.4,111.6,120.5,125.0,119.9
"Quảng Trị",171.0,163.8,152.6,171.9,168.6,176.4,192.3,208.8,218.4,207.4,201.0,199.9,201.5,199.1,196.8,208.7
"Thừa Thiên Huế",118.0,129.4,135.1,149.3,140.2,132.2,128.7,131.3,132.3,127.2,116.2,115.5,68.3,77.6,88.8,80.0
"Quảng Năm",199.8,195.9,189.7,214.6,217.0,210.0,214.1,229.2,233.1,207.2,186.2,183.9,185.2,160.8,157.2,138.7
"Quảng Ngãi",350.4,286.7,332.7,367.3,391.1,375.7,354.1,377.9,370.5,353.4,348.6,349.6,340.7,309.3,245.3,231.5
"Bình Định",295.9,314.0,296.0,317.8,319.5,333.6,329.8,334.0,323.7,306.3,314.6,325.7,309.6,284.1,273.3,271.0
"Phú Yên",247.9,154.8,176.7,280.0,305.7,378.5,354.0,414.1,527.9,502.5,526.4,569.1,664.4,671.9,628.6,510.4
