"Diện tích gieo trồng mía phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",269434,237908,185455,165899,169555,174845
"Đồng bằng sông Hồng",1950,1781,1426,1107,917,881
"Hà Nội",49,38,20,12,8,9
"Vĩnh Phúc",70,63,10,3,6,4
"Bắc Ninh",24,15,11,13,11,9
"Quảng Ninh",543,482,440,368,325,333
"Hải Dương",56,53,54,52,52,41
"Hải Phòng",68,70,35,37,29,37
"Hưng Yên",1,3,7,4,1,0
"Thái Bình",91,115,46,47,34,41
"Hà Nam",7,5,..,..,..,..
"Nam Định",124,110,93,76,53,51
"Ninh Bình",918,828,711,495,399,357
"Trung du và miền núi phía Bắc",33458,28034,23975,23929,23837,23251
"Hà Giang",808,824,707,694,588,526
"Cao Bằng",3658,3321,2948,2846,2778,2761
"Bắc Kạn",126,96,79,74,82,91
"Tuyên Quang",8471,4470,2883,2239,2149,2145
"Lào Cai",339,401,418,365,340,283
"Yên Bái",496,258,364,311,263,241
"Thái Nguyên",165,163,149,115,111,91
"Lạng Sơn",238,221,209,203,184,160
"Bắc Giang",244,236,207,192,179,162
"Phú Thọ",328,265,241,156,95,57
"Điện Biên",61,60,56,83,81,84
"Lai Châu",145,157,223,238,276,231
"Sơn La",9451,8770,7852,9283,10100,9815
"Hoà Bình",8927,8792,7638,7130,6611,6605
"Bắc Trung Bộ và Duyên hải miền Trung",108134,99173,79597,71216,70843,73968
"Thanh Hoá",27870,24407,18882,15496,14036,14085
"Nghệ An",24921,23235,20206,18805,20500,21264
"Hà Tĩnh",158,146,159,148,164,156
"Quảng Bình",165,207,207,181,165,175
"Quảng Trị",75,66,48,32,24,26
"Thừa Thiên Huế",206,178,173,138,147,132
"Đà Nẵng",407,453,462,376,307,298
"Quảng Năm",295,308,314,318,290,310
"Quảng Ngãi",2887,2155,910,413,206,168
"Bình Định",1128,544,263,194,179,178
"Phú Yên",27577,26210,21601,21369,22944,26192
"Khánh Hoà",17611,16438,12791,10397,9114,7641
"Ninh Thuận",3534,3562,2347,2123,1836,2594
"Bình Thuận",1299,1264,1236,1226,931,750
"Tây Nguyên",61203,57222,47663,44925,50937,55842
"Kon Tum",1558,1172,933,945,961,1219
"Gia Lai",40049,34054,30145,31440,36932,40778
"Đắk Lắk",19149,21577,16233,12265,12760,13565
"Đắk Nông",78,65,85,79,91,97
"Lâm Đồng",369,354,267,197,193,182
"Đông Năm Bộ",25909,21248,14018,12046,11601,10736
"Bình Phước",238,237,191,162,173,100
"Tây Ninh",14669,10725,6963,6136,6255,7175
"Bình Dương",572,561,520,509,465,390
"Đồng Nai",8338,8827,5610,4576,4070,2755
"Bà Rịa - Vũng Tàu",309,313,299,300,347,261
"TP.Hồ Chí Minh",1783,586,435,364,290,56
"Đồng bằng sông Cửu Long",38781,30450,18776,12676,11421,10168
"Long An",7735,4469,481,62,27,66
"Tiền Giang",278,289,187,189,164,131
"Bến Tre",699,314,133,65,3,..
"Trà Vinh",4515,2859,1689,1370,1369,1434
"Vĩnh Long",212,253,241,234,238,221
"Đồng Tháp",25,24,16,27,17,18
"An Giang",9,10,21,14,10,896
"Kiên Giang",5285,5248,3793,1759,2075,3
"Hậu Giang",10582,8314,5909,5040,3842,3286
"Sóc Trăng",8484,8031,5744,3392,3187,3613
"Bắc Liêu",232,232,232,201,200,218
"Cà Mau",723,406,332,324,290,282
