"Sản lượng mía phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",17945.2,15685.6,11534.6,10740.9,11088.9,11843.8
"Đồng bằng sông Hồng",106.1,97.9,78.4,62.5,52.1,49.9
"Hà Nội",1.8,1.3,0.7,0.4,0.2,0.3
"Vĩnh Phúc",4.0,3.6,0.5,0.1,0.3,0.2
"Bắc Ninh",0.7,0.4,0.3,0.4,0.3,0.3
"Quảng Ninh",25.1,22.6,20.4,19.8,17.7,18.1
"Hải Dương",2.8,2.7,2.7,2.6,2.6,2.1
"Hải Phòng",3.9,3.8,2.0,2.0,1.6,2.0
"Hưng Yên",0.0,0.1,0.3,0.2,0.1,0.0
"Thái Bình",4.7,6.0,2.4,2.5,1.8,2.1
"Hà Nam",0.3,0.2,..,..,..,..
"Nam Định",4.3,3.4,2.9,2.4,1.7,1.6
"Ninh Bình",58.4,53.7,46.2,32.2,26.0,23.3
"Trung du và miền núi phía Bắc",2105.3,1774.1,1498.2,1523.2,1536.3,1504.3
"Hà Giang",23.7,25.6,21.0,20.4,15.2,14.0
"Cao Bằng",227.3,207.0,178.5,173.6,173.3,178.3
"Bắc Kạn",5.7,4.1,2.8,3.0,3.3,3.6
"Tuyên Quang",535.5,275.9,169.4,130.5,125.5,124.5
"Lào Cai",9.3,11.0,12.2,11.2,10.4,8.9
"Yên Bái",12.3,8.9,8.1,6.7,5.2,4.7
"Thái Nguyên",9.1,9.1,8.4,6.5,6.2,4.8
"Lạng Sơn",8.5,7.9,7.5,7.3,6.6,5.5
"Bắc Giang",9.9,9.6,8.4,7.8,7.2,6.5
"Phú Thọ",18.6,15.2,13.7,9.0,5.4,3.2
"Điện Biên",1.4,1.4,1.3,1.8,1.8,1.9
"Lai Châu",6.4,6.9,9.9,11.0,13.0,10.7
"Sơn La",621.8,570.3,512.8,621.3,681.6,652.0
"Hoà Bình",615.9,621.0,544.3,513.2,481.6,485.7
"Bắc Trung Bộ và Duyên hải miền Trung",6360.5,5776.8,4354.5,4225.1,4299.8,4586.6
"Thanh Hoá",1700.6,1493.7,1213.7,997.3,919.2,923.8
"Nghệ An",1517.1,1372.9,1192.7,1127.0,1225.4,1276.4
"Hà Tĩnh",8.4,7.2,7.3,6.7,8.0,7.6
"Quảng Bình",3.3,4.1,3.9,3.7,3.2,3.5
"Quảng Trị",2.5,2.2,1.6,1.0,0.8,0.8
"Thừa Thiên Huế",4.8,4.0,4.2,3.5,3.7,3.4
"Đà Nẵng",16.5,18.4,18.3,15.3,14.1,11.6
"Quảng Năm",9.9,10.4,10.1,10.8,10.1,10.2
"Quảng Ngãi",166.2,121.8,51.7,24.0,11.1,9.2
"Bình Định",66.8,30.7,14.4,10.4,9.6,9.3
"Phú Yên",1738.1,1696.8,1239.7,1346.2,1478.2,1719.1
"Khánh Hoà",865.1,773.8,426.2,509.2,462.8,410.1
"Ninh Thuận",201.3,186.9,120.2,119.5,114.0,161.1
"Bình Thuận",60.1,54.0,50.4,50.3,39.8,40.5
"Tây Nguyên",3942.1,3808.1,3050.0,2997.6,3407.3,3985.4
"Kon Tum",84.5,62.9,51.1,52.4,53.2,67.7
"Gia Lai",2577.8,2203.7,1860.0,2067.9,2434.6,2930.2
"Đắk Lắk",1251.3,1514.4,1115.8,859.8,901.5,969.5
"Đắk Nông",4.7,3.8,5.0,4.8,5.6,6.1
"Lâm Đồng",23.8,23.3,18.1,12.7,12.5,11.7
"Đông Năm Bộ",2096.0,1581.9,987.3,842.2,812.3,775.0
"Bình Phước",7.0,4.8,5.4,4.5,4.6,2.6
"Tây Ninh",1132.0,813.2,526.0,452.5,466.8,544.9
"Bình Dương",23.8,23.7,22.2,22.0,19.9,15.4
"Đồng Nai",787.7,685.9,389.5,323.4,284.7,196.1
"Bà Rịa - Vũng Tàu",14.0,14.6,14.1,14.5,16.3,12.3
"TP.Hồ Chí Minh",131.5,39.7,30.1,25.3,20.0,3.7
"Đồng bằng sông Cửu Long",3335.2,2646.9,1566.2,1090.2,981.1,942.6
"Long An",480.9,270.0,27.6,3.7,1.1,1.7
"Tiền Giang",11.4,12.0,7.7,7.9,6.8,5.5
"Bến Tre",59.2,27.0,11.2,5.5,0.2,0.0
"Trà Vinh",454.5,271.0,163.7,129.7,137.8,147.1
"Vĩnh Long",14.7,17.4,16.6,16.2,16.7,15.8
"Đồng Tháp",2.0,1.9,1.3,2.1,1.5,0.1
"An Giang",0.4,0.4,0.8,0.5,0.4,0.7
"Kiên Giang",367.3,362.1,203.0,105.8,119.2,62.8
"Hậu Giang",1039.3,890.4,590.5,504.1,384.3,327.3
"Sóc Trăng",843.6,757.7,510.6,284.0,283.4,351.3
"Bắc Liêu",17.4,17.6,17.7,15.5,15.6,17.0
"Cà Mau",44.6,19.3,15.4,15.2,13.6,13.1
