"Diện tích gieo trồng lạc phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",185899,176763,169667,165235,159358,152422
"Đồng bằng sông Hồng",21209,20625,19599,18782,18217,17832
"Hà Nội",2741,2387,2331,2407,2342,2207
"Vĩnh Phúc",2411,2396,2298,2192,2151,2118
"Bắc Ninh",596,535,505,503,480,477
"Quảng Ninh",2091,2126,2073,2053,1828,1849
"Hải Dương",1053,1066,898,924,823,831
"Hải Phòng",128,105,99,122,138,141
"Hưng Yên",842,741,669,628,604,562
"Thái Bình",2247,2449,2234,2234,2331,2375
"Hà Nam",419,477,438,492,416,453
"Nam Định",5287,5267,5179,4577,4661,4626
"Ninh Bình",3395,3077,2876,2652,2443,2193
"Trung du và miền núi phía Bắc",49178,47828,47746,46289,43659,42091
"Hà Giang",9378,9690,9520,9592,9350,9022
"Cao Bằng",1922,1822,2044,1911,1753,1712
"Bắc Kạn",591,541,586,592,586,585
"Tuyên Quang",4341,4357,4568,4569,4460,4340
"Lào Cai",1567,1513,1366,1321,1058,1327
"Yên Bái",1818,1785,1759,1801,1851,1994
"Thái Nguyên",3514,3380,3156,3155,3021,2766
"Lạng Sơn",3066,2809,3083,3092,2715,2512
"Bắc Giang",10373,9825,9637,8576,8174,7669
"Phú Thọ",3817,3683,3398,3302,2981,2688
"Điện Biên",1467,1257,1216,1193,1097,1147
"Lai Châu",1675,1536,1535,1302,976,1211
"Sơn La",1341,1295,1447,1439,1339,1182
"Hoà Bình",4308,4335,4432,4443,4297,3935
"Bắc Trung Bộ và Duyên hải miền Trung",83392,80230,76615,75596,73835,69907
"Thanh Hoá",10504,9914,9401,9328,8856,8430
"Nghệ An",14141,13385,12902,12212,11789,10129
"Hà Tĩnh",13563,12266,11083,10377,9194,7915
"Quảng Bình",4516,4829,4247,4151,3930,3415
"Quảng Trị",3579,3345,3214,3289,3142,3111
"Thừa Thiên Huế",3269,3172,2904,2518,2376,2369
"Đà Nẵng",393,402,348,372,318,259
"Quảng Năm",9935,9552,9728,9522,9679,9548
"Quảng Ngãi",6021,5955,5964,6119,6156,6393
"Bình Định",9851,10040,9842,10263,10503,10988
"Phú Yên",891,675,671,459,484,633
"Khánh Hoà",571,570,536,466,423,417
"Ninh Thuận",915,818,860,774,797,627
"Bình Thuận",5244,5308,4917,5746,6187,5674
"Tây Nguyên",13522,12844,12792,12294,11726,11421
"Kon Tum",146,174,150,144,144,153
"Gia Lai",1775,1779,2139,2441,2514,2141
"Đắk Lắk",6567,6685,5702,5901,5342,5398
"Đắk Nông",4589,3648,4079,2951,2850,2855
"Lâm Đồng",445,558,722,857,875,874
"Đông Năm Bộ",8972,7994,6929,6723,6558,5779
"Bình Phước",244,203,118,121,121,92
"Tây Ninh",5529,4776,3784,3594,3186,3009
"Bình Dương",390,384,385,374,386,334
"Đồng Nai",1458,1232,1375,1205,1154,1092
"Bà Rịa - Vũng Tàu",1233,1255,1180,1359,1645,1218
"TP.Hồ Chí Minh",118,143,87,71,66,33
"Đồng bằng sông Cửu Long",9626,7242,5986,5550,5362,5393
"Long An",2931,808,273,272,171,144
"Tiền Giang",397,235,186,178,187,197
"Bến Tre",281,258,133,153,142,121
"Trà Vinh",4390,4336,4234,4267,4208,4267
"Vĩnh Long",50,44,49,56,56,51
"Đồng Tháp",80,72,64,47,55,74
"An Giang",1166,1220,851,388,354,360
"Kiên Giang",16,15,11,12,12,13
"Cần Thơ",38,45,30,36,35,36
"Sóc Trăng",277,207,156,140,142,130
