"Sản lượng lạc phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",456762,442559,425519,430367,407991,400172
"Đồng bằng sông Hồng",59496,60626,58752,57486,55910,55916
"Hà Nội",6119,6001,5330,5574,5361,5150
"Vĩnh Phúc",4873,5068,4908,4731,4082,4240
"Bắc Ninh",1469,1312,1318,1314,1306,1319
"Quảng Ninh",3797,3722,3580,3993,3163,3587
"Hải Dương",2379,2606,1888,2150,1973,2010
"Hải Phòng",347,288,303,358,402,416
"Hưng Yên",2942,2607,2369,2213,2150,2004
"Thái Bình",6778,7621,7056,7236,7493,7674
"Hà Nam",1118,1333,1261,1437,1216,1359
"Nam Định",20804,22023,23061,20931,21525,21520
"Ninh Bình",8870,8045,7679,7551,7240,6637
"Trung du và miền núi phía Bắc",105324,103916,104001,105222,100088,96278
"Hà Giang",22958,23744,23180,26958,25616,24290
"Cao Bằng",2851,2726,3062,2849,2574,2437
"Bắc Kạn",1005,1034,1050,1069,1059,1046
"Tuyên Quang",12532,12772,13498,13455,12990,12740
"Lào Cai",1868,2030,2007,1958,1581,2101
"Yên Bái",3346,3319,3282,3369,3476,3715
"Thái Nguyên",6263,5952,5618,5774,6084,5557
"Lạng Sơn",5691,5284,5711,5792,5111,4776
"Bắc Giang",26881,25499,25126,22565,21335,20274
"Phú Thọ",8183,7966,7345,7227,6747,6118
"Điện Biên",1922,1540,1460,1456,1366,1546
"Lai Châu",1864,1713,1714,1400,1057,1335
"Sơn La",1480,1402,1552,1637,1504,1396
"Hoà Bình",8479,8935,9395,9714,9589,8948
"Bắc Trung Bộ và Duyên hải miền Trung",202210,197581,190519,198996,185424,184261
"Thanh Hoá",22287,21484,20735,20718,19945,19086
"Nghệ An",36598,38374,34285,33546,31937,28034
"Hà Tĩnh",36267,31619,27695,29130,21965,22339
"Quảng Bình",10466,10797,9644,10122,9342,8072
"Quảng Trị",7330,7058,6827,7755,5592,7039
"Thừa Thiên Huế",7362,5520,7214,5715,3811,4978
"Đà Nẵng",704,726,641,715,540,514
"Quảng Năm",21292,19467,22254,24921,23388,20602
"Quảng Ngãi",13761,13810,14118,14761,14511,15153
"Bình Định",34208,34960,34477,37674,39177,43761
"Phú Yên",1895,1584,1625,1101,1225,1650
"Khánh Hoà",1263,1343,1273,1148,1036,994
"Ninh Thuận",997,1068,1174,1114,1070,1137
"Bình Thuận",7780,9771,8556,10575,11887,10904
"Tây Nguyên",22160,23510,23874,22517,22522,22109
"Kon Tum",253,311,280,268,271,299
"Gia Lai",2207,2283,2942,3232,3880,3414
"Đắk Lắk",8474,11266,8375,9497,9117,9325
"Đắk Nông",10686,8951,11377,8443,8147,7955
"Lâm Đồng",539,698,900,1077,1108,1116
"Đông Năm Bộ",26046,23628,20280,19410,18040,16382
"Bình Phước",200,171,115,115,115,82
"Tây Ninh",20603,17663,14498,13849,12197,11519
"Bình Dương",591,588,597,586,612,505
"Đồng Nai",2754,3318,3378,2901,2620,2372
"Bà Rịa - Vũng Tàu",1537,1450,1418,1734,2274,1791
"TP.Hồ Chí Minh",362,439,275,226,222,114
"Đồng bằng sông Cửu Long",41527,33297,28094,26735,26007,25225
"Long An",9714,2528,868,841,517,433
"Tiền Giang",1350,809,635,619,673,711
"Bến Tre",907,832,426,499,471,402
"Trà Vinh",22350,23205,21436,21841,21334,21443
"Vĩnh Long",132,117,133,156,158,147
"Đồng Tháp",293,274,240,182,221,296
"An Giang",5964,4866,3865,2111,2149,1329
"Kiên Giang",51,46,34,36,37,45
"Cần Thơ",63,78,52,70,62,65
"Sóc Trăng",703,532,405,375,383,354
