"Sản lượng chè búp phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",845.4,873.1,894.6,907.1,950.8,967.8,967.6,975.1,993.8,1017.6,1065.0,1091.1,1116.7,1125.0
"Hà Nội",22.1,22.5,22.7,21.4,22.2,22.7,24.9,21.0,22.3,19.2,19.4,17.1,16.8,16.4
"Hà Giang",57.0,58.0,59.7,60.5,65.3,68.7,65.5,67.5,71.8,70.1,87.4,91.7,88.6,86.2
"Bắc Kạn",5.5,8.0,8.6,8.7,9.0,9.0,9.4,9.3,9.6,9.7,9.6,7.7,7.8,7.9
"Tuyên Quang",41.2,45.6,48.4,46.1,52.0,64.2,65.9,65.8,64.2,65.5,67.5,68.3,69.7,70.3
"Lào Cai",11.3,12.6,13.7,11.9,14.2,16.9,17.6,18.6,24.0,30.1,37.2,37.7,41.7,44.3
"Yên Bái",85.9,88.8,91.0,91.0,87.8,85.4,80.6,70.0,65.9,69.8,74.0,68.6,68.1,65.7
"Thái Nguyên",174.9,181.0,184.9,193.4,193.0,202.3,211.2,224.7,224.6,239.2,244.4,250.7,260.9,264.4
"Phú Thọ",111.6,117.1,127.9,136.2,152.2,154.8,162.4,172.7,178.5,182.0,181.8,185.1,178.4,178.1
"Lai Châu",18.3,19.8,19.6,20.1,22.6,25.2,26.2,27.5,34.6,35.5,40.8,44.0,51.8,55.2
"Sơn La",23.9,25.1,23.9,26.6,33.1,37.3,38.2,41.5,45.0,47.4,48.6,51.2,54.2,54.3
"Nghệ An",55.5,56.5,60.1,61.9,63.5,62.7,63.1,69.1,77.1,74.2,78.7,91.5,101.2,112.6
"Lâm Đồng",204.0,202.2,197.4,190.0,196.0,178.1,162.3,146.6,136.4,130.4,130.4,129.1,124.2,118.7
