"Diện tích các loại cây trồng phân theo nhóm cây chia theo Diện tích và chỉ số phát triển, Năm và Nhóm cây"

"Diện tích và Chỉ số phát triển","Năm","Tổng số","Cây hàng năm","Cây hàng năm: Cây lương thực có hạt","Cây hàng năm: Cây CN hàng năm","Cây lâu năm","Cây lâu năm: Cây CN  lâu năm","Cây lâu năm: Cây ăn quả"
"Diện tích (Nghìn ha)","2008",13872.9,11156.7,8542.2,806.1,2716.2,1885.8,775.5
"Diện tích (Nghìn ha)","2009",13807.6,11047.1,8527.4,753.6,2760.5,1936.0,774.0
"Diện tích (Nghìn ha)","2010",14061.1,11214.3,8615.9,797.6,2846.8,2010.5,779.7
"Diện tích (Nghìn ha)","2011",14363.5,11420.5,8777.6,788.2,2943.0,2079.6,772.5
"Diện tích (Nghìn ha)","2012",14635.6,11537.9,8918.9,729.9,3097.7,2222.8,765.9
"Diện tích (Nghìn ha)","2013",14792.5,11714.4,9074.0,730.9,3078.1,2110.9,706.9
"Diện tích (Nghìn ha)","2014",14809.4,11665.4,8996.2,710.0,3144.0,2133.5,799.1
"Diện tích (Nghìn ha)","2015",14945.3,11700.0,9008.8,676.8,3245.3,2154.5,824.4
"Diện tích (Nghìn ha)","2016",15112.1,11798.6,8890.6,633.2,3313.5,2345.7,869.1
"Diện tích (Nghìn ha)","2017",14902.0,11498.1,8806.8,611.8,3403.9,2219.8,928.3
"Diện tích (Nghìn ha)","2018",14768.5,11271.7,8605.5,565.6,3496.8,2212.5,993.2
"Diện tích (Nghìn ha)","2019",14703.0,11156.8,8458.7,520.6,3546.2,2188.4,1067.1
"Diện tích (Nghìn ha)","2020",14487.4,10871.1,8222.6,457.8,3616.3,2185.8,1135.2
"Diện tích (Nghìn ha)","2021",14433.9,10756.9,8142.9,425.9,3677.0,2200.2,1171.5
"Diện tích (Nghìn ha)","2022",14370.0,10652.3,7997.0,420.6,3717.7,2180.4,1217.6
"Diện tích (Nghìn ha)","2023",14415.9,10652.3,8004.2,416.5,3763.6,2169.6,1265.6
"Chỉ số phát triển ( Năm trước = 100 )   - %","2008",102.3,102.4,102.9,95.3,102.1,103.5,99.6
"Chỉ số phát triển ( Năm trước = 100 )   - %","2009",99.5,99.0,99.8,93.5,101.6,102.7,99.8
"Chỉ số phát triển ( Năm trước = 100 )   - %","2010",101.8,101.5,101.0,105.8,103.1,103.8,100.7
"Chỉ số phát triển ( Năm trước = 100 )   - %","2011",102.2,101.8,101.9,98.8,103.4,103.4,99.1
"Chỉ số phát triển ( Năm trước = 100 )   - %","2012",101.9,101.0,101.6,92.6,105.3,106.9,99.1
"Chỉ số phát triển ( Năm trước = 100 )   - %","2013",101.1,101.5,101.7,100.1,99.4,95.0,92.3
"Chỉ số phát triển ( Năm trước = 100 )   - %","2014",100.1,99.6,99.1,97.1,102.1,101.1,113.0
"Chỉ số phát triển ( Năm trước = 100 )   - %","2015",100.9,100.3,100.1,95.3,103.2,101.0,103.2
"Chỉ số phát triển ( Năm trước = 100 )   - %","2016",101.1,100.8,98.7,93.6,102.1,108.9,105.4
"Chỉ số phát triển ( Năm trước = 100 )   - %","2017",98.6,97.5,99.1,96.6,102.7,94.6,106.8
"Chỉ số phát triển ( Năm trước = 100 )   - %","2018",99.1,98.0,97.7,92.4,102.7,99.7,107.0
"Chỉ số phát triển ( Năm trước = 100 )   - %","2019",99.6,99.0,98.3,92.0,101.4,98.9,107.4
"Chỉ số phát triển ( Năm trước = 100 )   - %","2020",98.5,97.4,97.2,87.9,102.0,99.9,106.4
"Chỉ số phát triển ( Năm trước = 100 )   - %","2021",99.6,98.9,99.0,93.0,101.7,100.7,103.2
"Chỉ số phát triển ( Năm trước = 100 )   - %","2022",99.6,99.0,98.2,98.7,101.1,99.1,103.9
"Chỉ số phát triển ( Năm trước = 100 )   - %","2023",100.3,100.0,100.1,99.0,101.2,99.5,103.9
