"Sản lượng cam phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",855.1,1017.2,1160.8,1586.5,1780.5,1823.9
"Hưng Yên",28.9,32.2,35.5,33.2,32.6,33.0
"Hà Giang",52.8,75.2,91.1,80.5,65.8,56.8
"Tuyên Quang",81.1,85.7,95.5,108.4,104.3,87.7
"Yên Bái",10.3,11.5,12.7,13.9,14.8,15.9
"Bắc Giang",33.0,44.5,46.3,48.8,42.0,33.3
"Sơn La",3.8,5.5,7.1,8.4,10.2,10.5
"Hoà Bình",71.8,86.2,92.1,100.1,105.9,102.6
"Thanh Hoá",3.8,8.8,10.1,12.7,14.1,13.1
"Nghệ An",47.5,54.6,59.3,60.8,55.7,40.0
"Hà Tĩnh",29.9,40.2,47.7,63.8,66.7,67.8
"Bình Dương",21.8,24.8,29.1,35.8,50.4,59.8
"Đồng Nai",9.4,10.9,12.5,13.2,12.7,12.0
"Tiền Giang",52.8,38.8,30.7,25.5,17.8,8.1
"Bến Tre",13.2,12.4,11.3,11.4,11.2,8.0
"Trà Vinh",52.6,56.8,64.6,78.0,120.9,179.6
"Vĩnh Long",105.0,138.2,249.0,490.9,741.2,863.6
"Đồng Tháp",47.3,50.4,46.9,34.8,34.3,29.8
"Cần Thơ",7.8,9.5,9.7,10.5,11.2,11.8
"Hậu Giang",97.8,124.8,104.8,87.0,79.3,85.6
"Sóc Trăng",30.9,36.7,25.7,30.9,23.6,18.8
