"Diện tích gieo trồng một số cây hàng năm chia theo Diện tích và chỉ số phát triển, Năm và Một số cây hàng năm"

"Diện tích và Chỉ số phát triển","Năm","Lúa","Ngô","Mía","Sắn","Lạc","Khoai lang"
"Diện tích (Nghìn ha)","2008",7400.2,1140.2,270.7,..,255.3,..
"Diện tích (Nghìn ha)","2009",7437.2,1089.2,265.6,..,245.0,..
"Diện tích (Nghìn ha)","2010",7489.4,1125.7,269.1,498.0,231.4,150.8
"Diện tích (Nghìn ha)","2011",7655.4,1121.3,282.2,558.4,223.8,146.8
"Diện tích (Nghìn ha)","2012",7761.2,1156.6,301.9,551.9,219.2,141.7
"Diện tích (Nghìn ha)","2013",7902.5,1170.4,310.4,543.9,216.4,135.0
"Diện tích (Nghìn ha)","2014",7816.2,1179.0,305.0,552.8,208.7,130.1
"Diện tích (Nghìn ha)","2015",7828.0,1178.9,284.2,567.9,200.2,127.6
"Diện tích (Nghìn ha)","2016",7737.1,1152.7,267.6,569.0,184.8,120.3
"Diện tích (Nghìn ha)","2017",7705.2,1099.5,281.0,532.6,195.6,121.8
"Diện tích (Nghìn ha)","2018",7570.9,1032.9,269.4,513.0,185.9,117.9
"Diện tích (Nghìn ha)","2019",7469.9,986.7,237.9,519.0,176.8,117.0
"Diện tích (Nghìn ha)","2020",7278.9,942.5,185.5,524.7,169.7,109.0
"Diện tích (Nghìn ha)","2021",7238.8,902.8,165.9,524.5,165.2,98.3
"Diện tích (Nghìn ha)","2022",7108.9,887.2,169.6,530.3,159.4,86.2
"Diện tích (Nghìn ha)","2023",7119.3,884.6,174.9,511.0,152.4,79.7
"Chỉ số phát triển (Năm trước = 100) - %","2008",102.7,104.0,92.3,..,100.3,..
"Chỉ số phát triển (Năm trước = 100) - %","2009",100.5,95.5,98.1,..,96.0,..
"Chỉ số phát triển (Năm trước = 100) - %","2010",100.7,103.4,101.3,98.2,94.4,134.6
"Chỉ số phát triển (Năm trước = 100) - %","2011",102.2,99.6,104.9,112.1,96.7,97.3
"Chỉ số phát triển (Năm trước = 100) - %","2012",101.4,103.2,107.0,98.8,97.9,96.5
"Chỉ số phát triển (Năm trước = 100) - %","2013",101.8,101.2,102.8,98.6,98.7,95.3
"Chỉ số phát triển (Năm trước = 100) - %","2014",98.9,100.7,98.3,101.6,96.4,96.4
"Chỉ số phát triển (Năm trước = 100) - %","2015",100.2,100.0,93.2,102.7,95.9,98.1
"Chỉ số phát triển (Năm trước = 100) - %","2016",98.8,97.8,94.2,100.2,92.3,94.3
"Chỉ số phát triển (Năm trước = 100) - %","2017",99.6,95.4,105.0,93.6,105.8,101.2
"Chỉ số phát triển (Năm trước = 100) - %","2018",98.3,93.9,95.9,96.3,95.0,96.8
"Chỉ số phát triển (Năm trước = 100) - %","2019",98.7,95.5,88.3,101.2,95.1,99.2
"Chỉ số phát triển (Năm trước = 100) - %","2020",97.4,95.5,78.0,101.1,96.0,93.2
"Chỉ số phát triển (Năm trước = 100) - %","2021",99.4,95.8,89.5,100.0,97.4,90.1
"Chỉ số phát triển (Năm trước = 100) - %","2022",98.2,98.3,102.2,101.1,96.4,87.8
"Chỉ số phát triển (Năm trước = 100) - %","2023",100.1,99.7,103.1,96.4,95.7,92.4
