"Năng suất một số cây hàng năm chia theo Năng suất và Chỉ số phát triển, Năm và Một số cây hàng năm"

"Năng suất và Chỉ số phát triển","Năm","Lúa","Ngô","Mía","Sắn","Lạc","Khoai lang"
"Năng suất (Tạ/ha)","2008",52.3,40.1,596.4,..,20.8,..
"Năng suất (Tạ/ha)","2009",52.4,40.1,587.7,..,20.9,..
"Năng suất (Tạ/ha)","2010",53.4,41.1,600.6,172.6,21.1,87.4
"Năng suất (Tạ/ha)","2011",55.4,43.1,621.5,177.3,20.9,92.8
"Năng suất (Tạ/ha)","2012",56.4,43.0,629.9,176.4,21.4,100.7
"Năng suất (Tạ/ha)","2013",55.7,44.4,648.5,179.4,22.7,100.6
"Năng suất (Tạ/ha)","2014",57.5,44.1,649.9,184.7,21.7,107.7
"Năng suất (Tạ/ha)","2015",57.6,44.8,645.2,189.1,22.7,104.7
"Năng suất (Tạ/ha)","2016",55.7,45.5,643.2,191.7,23.1,105.5
"Năng suất (Tạ/ha)","2017",55.5,46.5,653.3,192.8,23.5,111.1
"Năng suất (Tạ/ha)","2018",58.2,47.2,666.0,192.0,24.6,116.6
"Năng suất (Tạ/ha)","2019",58.2,48.0,659.3,196.0,25.0,122.4
"Năng suất (Tạ/ha)","2020",58.8,48.4,622.0,200.2,25.1,126.4
"Năng suất (Tạ/ha)","2021",60.6,49.3,647.4,201.4,26.0,125.3
"Năng suất (Tạ/ha)","2022",60.0,49.9,829.1,200.4,25.6,113.3
"Năng suất (Tạ/ha)","2023",61.1,50.2,677.3,204.3,26.3,114.8
"Chỉ số phát triển (Năm trước = 100) - %","2008",104.8,102.0,100.6,..,104.0,..
"Chỉ số phát triển (Năm trước = 100) - %","2009",100.2,100.0,98.5,..,100.5,..
"Chỉ số phát triển (Năm trước = 100) - %","2010",101.9,102.5,102.2,102.6,101.0,103.4
"Chỉ số phát triển (Năm trước = 100) - %","2011",103.7,104.9,103.5,102.7,99.1,106.2
"Chỉ số phát triển (Năm trước = 100) - %","2012",101.8,99.8,101.4,99.5,102.4,108.5
"Chỉ số phát triển (Năm trước = 100) - %","2013",98.8,103.3,103.0,101.7,106.1,99.9
"Chỉ số phát triển (Năm trước = 100) - %","2014",103.2,99.3,100.2,103.0,95.6,107.1
"Chỉ số phát triển (Năm trước = 100) - %","2015",100.2,101.6,99.3,102.4,104.6,97.2
"Chỉ số phát triển (Năm trước = 100) - %","2016",96.7,101.6,99.7,101.4,101.8,100.8
"Chỉ số phát triển (Năm trước = 100) - %","2017",99.6,102.2,101.6,100.6,101.7,105.3
"Chỉ số phát triển (Năm trước = 100) - %","2018",104.9,101.5,101.9,99.6,104.7,105.0
"Chỉ số phát triển (Năm trước = 100) - %","2019",100.0,101.7,99.0,102.1,101.6,105.0
"Chỉ số phát triển (Năm trước = 100) - %","2020",101.0,100.8,94.3,102.1,100.4,103.3
"Chỉ số phát triển (Năm trước = 100) - %","2021",103.1,101.9,104.1,100.6,103.6,99.1
"Chỉ số phát triển (Năm trước = 100) - %","2022",99.0,101.2,128.1,99.5,98.5,90.4
"Chỉ số phát triển (Năm trước = 100) - %","2023",101.8,100.6,81.7,101.9,102.7,101.3
