"Sản lượng một số cây hàng năm chia theo Sản lượng và chỉ số phát triển, Năm và Một số cây hàng năm"

"Sản lượng và chỉ số phát triển","Năm","Lúa","Ngô","Mía","Sắn","Lạc","Khoai lang"
"Sản lượng (Nghìn tấn)","2008",38729.8,4573.1,16145.5,..,530.2,..
"Sản lượng (Nghìn tấn)","2009",38950.2,4371.7,15608.3,..,510.9,..
"Sản lượng (Nghìn tấn)","2010",40005.6,4625.7,16161.7,8595.6,487.2,1318.5
"Sản lượng (Nghìn tấn)","2011",42398.5,4835.6,17539.6,9897.9,468.7,1362.1
"Sản lượng (Nghìn tấn)","2012",43737.8,4973.6,19015.4,9735.4,468.5,1427.3
"Sản lượng (Nghìn tấn)","2013",44039.1,5191.2,20128.5,9757.3,491.9,1358.1
"Sản lượng (Nghìn tấn)","2014",44974.6,5202.3,19821.6,10209.9,453.3,1401.3
"Sản lượng (Nghìn tấn)","2015",45091.0,5287.2,18337.3,10740.2,454.1,1335.9
"Sản lượng (Nghìn tấn)","2016",43109.0,5246.5,17211.2,10909.9,427.2,1269.3
"Sản lượng (Nghìn tấn)","2017",42738.9,5109.6,18356.4,10267.7,459.6,1352.8
"Sản lượng (Nghìn tấn)","2018",44046.0,4874.1,17945.2,9847.1,456.8,1374.7
"Sản lượng (Nghìn tấn)","2019",43495.4,4731.9,15685.6,10174.9,442.6,1432.0
"Sản lượng (Nghìn tấn)","2020",42764.8,4558.2,11534.6,10504.2,425.5,1378.0
"Sản lượng (Nghìn tấn)","2021",43852.6,4446.4,10740.9,10565.6,430.4,1231.5
"Sản lượng (Nghìn tấn)","2022",42660.8,4423.3,11088.9,10626.9,408.0,976.4
"Sản lượng (Nghìn tấn)","2023",43497.7,4437.2,11843.8,10439.2,400.2,914.7
"Chỉ số phát triển (Năm trước = 100) - %","2008",107.8,106.3,92.8,..,104.0,..
"Chỉ số phát triển (Năm trước = 100) - %","2009",100.6,95.6,96.7,..,96.4,..
"Chỉ số phát triển (Năm trước = 100) - %","2010",102.7,105.8,103.5,100.8,95.4,138.8
"Chỉ số phát triển (Năm trước = 100) - %","2011",106.0,104.5,108.5,115.2,96.2,103.3
"Chỉ số phát triển (Năm trước = 100) - %","2012",103.2,102.9,108.4,98.4,100.0,104.8
"Chỉ số phát triển (Năm trước = 100) - %","2013",100.7,104.4,105.9,100.2,105.0,95.2
"Chỉ số phát triển (Năm trước = 100) - %","2014",102.1,100.2,98.5,104.6,92.2,103.2
"Chỉ số phát triển (Năm trước = 100) - %","2015",100.3,101.6,92.5,105.2,100.2,95.3
"Chỉ số phát triển (Năm trước = 100) - %","2016",95.6,99.2,93.9,101.6,94.1,95.0
"Chỉ số phát triển (Năm trước = 100) - %","2017",99.1,97.4,106.7,94.1,107.6,106.6
"Chỉ số phát triển (Năm trước = 100) - %","2018",103.1,95.4,97.8,95.9,99.4,101.6
"Chỉ số phát triển (Năm trước = 100) - %","2019",98.7,97.1,87.4,103.3,96.9,104.2
"Chỉ số phát triển (Năm trước = 100) - %","2020",98.3,96.3,73.5,103.2,96.1,96.2
"Chỉ số phát triển (Năm trước = 100) - %","2021",102.5,97.5,93.1,100.6,101.1,89.4
"Chỉ số phát triển (Năm trước = 100) - %","2022",97.3,99.5,103.2,100.6,94.8,79.3
"Chỉ số phát triển (Năm trước = 100) - %","2023",102.0,100.3,106.8,98.2,98.1,93.7
