"Diện tích gieo trồng và sản lượng lương thực có hạt chia theo Giá trị và Chỉ số phát triển, Năm và Loại lương thực có hạt"

"Giá trị và Chỉ số phát triển","Năm","Tổng Diện tích (Nghìn ha )","Diện tích Lúa (Nghìn ha )","Diện tích Ngô (Nghìn ha )"," Tổng Sản lượng (Nghìn tấn )","Sản lượng Lúa (Nghìn tấn )","Sản lượng Ngô (Nghìn tấn )"
"Giá trị","2008",8542.2,7400.2,1140.2,43305.4,38729.8,4573.1
"Giá trị","2009",8527.4,7437.2,1089.2,43323.4,38950.2,4371.7
"Giá trị","2010",8615.9,7489.4,1125.7,44632.2,40005.6,4625.7
"Giá trị","2011",8777.6,7655.4,1121.3,47235.5,42398.5,4835.6
"Giá trị","2012",8918.9,7761.2,1156.6,48712.6,43737.8,4973.6
"Giá trị","2013",9074.0,7902.5,1170.4,49231.6,44039.1,5191.2
"Giá trị","2014",8996.2,7816.2,1179.0,50178.5,44974.6,5202.3
"Giá trị","2015",9008.8,7828.0,1178.9,50379.5,45091.0,5287.2
"Giá trị","2016",8890.6,7737.1,1152.7,48360.2,43109.0,5246.5
"Giá trị","2017",8806.8,7705.2,1099.5,47852.2,42738.9,5109.6
"Giá trị","2018",8605.5,7570.9,1032.9,48923.4,44046.0,4874.1
"Giá trị","2019",8458.7,7469.9,986.7,48230.9,43495.4,4731.9
"Giá trị","2020",8222.6,7278.9,942.5,47325.5,42764.8,4558.2
"Giá trị","2021",8142.9,7238.8,902.8,48301.0,43852.6,4446.4
"Giá trị","2022",7997.0,7108.9,887.2,47085.5,42660.8,4423.3
"Giá trị","2023",8004.2,7119.3,884.6,47935.7,43497.7,4437.2
"Chỉ số phát triển (Năm trước = 100)   - %","2008",102.9,102.7,104.0,107.6,107.8,106.3
"Chỉ số phát triển (Năm trước = 100)   - %","2009",99.8,100.5,95.5,100.0,100.6,95.6
"Chỉ số phát triển (Năm trước = 100)   - %","2010",101.0,100.7,103.4,103.0,102.7,105.8
"Chỉ số phát triển (Năm trước = 100)   - %","2011",101.9,102.2,99.6,105.8,106.0,104.5
"Chỉ số phát triển (Năm trước = 100)   - %","2012",101.6,101.4,103.1,103.1,103.2,102.9
"Chỉ số phát triển (Năm trước = 100)   - %","2013",101.7,101.8,101.2,101.1,100.7,104.4
"Chỉ số phát triển (Năm trước = 100)   - %","2014",99.1,98.9,100.7,101.9,102.1,100.2
"Chỉ số phát triển (Năm trước = 100)   - %","2015",100.1,100.2,100.0,100.4,100.3,101.6
"Chỉ số phát triển (Năm trước = 100)   - %","2016",98.7,98.8,97.8,96.0,95.6,99.2
"Chỉ số phát triển (Năm trước = 100)   - %","2017",99.1,99.6,95.4,98.9,99.1,97.4
"Chỉ số phát triển (Năm trước = 100)   - %","2018",97.7,98.3,93.9,102.2,103.1,95.4
"Chỉ số phát triển (Năm trước = 100)   - %","2019",98.3,98.7,95.5,98.6,98.7,97.1
"Chỉ số phát triển (Năm trước = 100)   - %","2020",97.2,97.4,95.5,98.1,98.3,96.3
"Chỉ số phát triển (Năm trước = 100)   - %","2021",99.0,99.4,95.8,102.1,102.5,97.5
"Chỉ số phát triển (Năm trước = 100)   - %","2022",98.2,98.2,98.3,97.5,97.3,99.5
"Chỉ số phát triển (Năm trước = 100)   - %","2023",100.1,100.1,99.7,101.8,102.0,100.3
