"Diện tích gieo trồng cây lương thực có hạt phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CẢ NƯỚC",8542.2,8527.4,8615.9,8777.6,8918.9,9074.0,8996.2,9008.8,8890.6,8806.8,8605.5,8458.7,8222.6,8142.9,7997.0,8004.2
"Đồng bằng sông Hồng",1251.7,1228.3,1247.8,1240.6,1225.2,1218.3,1210.9,1202.5,1184.3,1159.0,1119.0,1082.3,1047.8,1030.9,1012.9,993.7
"Hà Nội",232.6,225.3,229.7,229.2,225.9,225.0,223.0,221.6,217.0,209.0,196.4,187.3,179.4,175.3,172.2,167.2
"Hà Tây",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",76.4,68.4,77.1,76.1,73.1,74.8,73.7,74.5,74.4,73.0,70.9,65.3,63.5,62.8,62.7,61.5
"Bắc Ninh",78.7,77.2,76.9,76.5,76.9,76.3,76.4,75.5,73.8,71.5,68.5,67.1,64.7,62.9,61.1,59.6
"Quảng Ninh",52.5,51.4,51.4,50.3,49.7,48.9,49.1,48.5,48.1,47.3,46.4,45.6,45.2,44.1,43.2,42.7
"Hải Dương",131.3,130.9,132.2,130.8,130.0,130.1,129.1,126.7,124.5,122.4,120.3,118.5,116.1,114.6,113.2,111.7
"Hải Phòng",85.0,84.3,83.5,82.2,81.0,79.8,78.4,77.0,75.2,73.3,70.2,65.8,59.6,58.8,57.8,56.7
"Hưng Yên",90.9,88.4,90.5,90.6,89.6,89.1,87.3,86.0,82.3,78.2,73.3,68.3,62.9,59.5,56.8,53.4
"Thái Bình",177.6,175.6,175.6,174.9,172.1,171.1,171.9,172.1,172.3,171.9,168.8,166.0,164.6,163.6,160.7,158.8
"Hà Nam",78.1,76.5,78.8,78.6,77.6,76.6,76.1,75.6,73.9,72.8,70.2,68.7,66.0,64.9,63.9,62.6
"Nam Định",161.3,163.0,163.9,163.4,162.0,159.6,159.2,158.9,157.5,155.8,153.3,150.6,148.7,147.8,146.0,144.4
"Ninh Bình",87.3,87.3,88.2,88.0,87.3,87.0,86.7,86.1,85.3,83.8,80.7,79.1,77.1,76.6,75.5,75.1
"Trung du và miền núi phía Bắc",1118.8,1114.1,1127.5,1137.1,1180.5,1194.2,1204.9,1203.9,1192.4,1170.9,1129.1,1105.1,1092.4,1077.2,1066.4,1058.1
"Hà Giang",83.4,84.1,84.4,87.5,90.2,90.3,91.9,91.8,91.0,92.1,92.1,92.3,92.8,92.6,92.9,92.7
"Cao Bằng",70.0,67.8,69.2,69.3,70.2,69.4,69.5,70.5,69.2,70.7,70.3,69.7,69.8,70.5,71.5,71.4
"Bắc Kạn",37.9,37.8,37.7,39.1,38.8,39.4,40.6,41.0,40.7,39.8,38.5,37.7,37.1,37.3,36.9,36.6
"Tuyên Quang",61.4,60.4,62.1,62.0,59.9,62.1,61.5,64.2,63.5,63.7,62.3,63.0,63.7,62.7,62.4,61.8
"Lào Cai",57.1,58.7,60.8,63.1,64.3,65.2,69.9,67.6,69.2,70.4,71.4,71.4,72.3,70.4,68.6,68.8
"Yên Bái",57.0,59.7,63.6,66.1,65.1,67.2,69.4,69.5,71.4,70.7,70.6,71.6,72.3,72.1,71.7,71.6
"Thái Nguyên",89.5,87.3,87.7,89.8,90.5,91.2,92.0,93.5,92.1,88.9,87.9,87.0,85.9,84.5,83.5,82.7
"Lạng Sơn",69.9,70.1,69.8,70.5,72.1,72.8,72.3,71.9,72.2,70.8,69.8,68.0,67.5,65.9,67.3,67.8
