Province,Latitude,Longitude
Hà Nội,21.0285,105.8542
Vĩnh Phúc,21.3614,105.5401
Bắc Ninh,21.1212,106.0880
Quảng Ninh,21.1935,107.2000
Hải Dương,20.9405,106.3330
Hải Phòng,20.8449,106.6881
Hưng Yên,20.6464,106.0511
Thái Bình,20.4463,106.3364
Hà Nam,20.5451,105.9135
Nam Định,20.4230,106.1680
Ninh Bình,20.2520,105.9750
Hà Giang,22.8233,104.9836
Cao Bằng,22.6662,106.2570
Bắc Kạn,22.2572,105.8589
Tuyên Quang,21.8235,105.2131
Lào Cai,22.4856,103.9707
Yên Bái,21.7229,104.9113
Thái Nguyên,21.5939,105.8482
Lạng Sơn,21.8530,106.7620
Bắc Giang,21.2731,106.1946
Phú Thọ,21.3232,105.2130
Điện Biên,21.3833,103.0167
Lai Châu,22.3934,103.4712
Sơn La,21.3289,103.9123
Hòa Bình,20.8172,105.3376
Thanh Hóa,19.8067,105.7767
Nghệ An,18.6667,105.6667
Hà Tĩnh,18.3440,105.9030
Quảng Bình,17.4833,106.6000
Quảng Trị,16.7500,107.1833
Thừa Thiên Huế,16.4637,107.5908
Đà Nẵng,16.0544,108.2022
Quảng Nam,15.5667,108.4833
Quảng Ngãi,15.1200,108.8000
Bình Định,13.7820,109.2197
Phú Yên,13.0833,109.3000
Khánh Hòa,12.2467,109.1917
Ninh Thuận,11.5647,108.9882
Bình Thuận,10.9333,108.1000
Kon Tum,14.3500,108.0000
Gia Lai,13.9833,108.0000
Đắk Lắk,12.6667,108.0333
Đắk Nông,12.0000,107.6833
Lâm Đồng,11.5714,107.8091
Bình Phước,11.7332,106.9062
Tây Ninh,11.3000,106.1000
Bình Dương,11.1970,106.7081
Đồng Nai,10.9500,106.8167
Bà Rịa - Vũng Tàu,10.4114,107.1358
TP.Hồ Chí Minh,10.7769,106.7009
Long An,10.5333,106.4000
Bến Tre,10.2448,106.3735
Trà Vinh,9.9414,106.3364
An Giang,10.5149,105.1132
Kiên Giang,9.9167,105.1500
Sóc Trăng,9.5664,105.8764
Bạc Liêu,9.2825,105.7261
Cà Mau,9.1769,105.1478
Tiền Giang,10.3814,106.2353
Vĩnh Long,10.2500,105.9667
Đồng Tháp,10.4500,105.6333
Cần Thơ,10.0333,105.7833
Hậu Giang,9.7840,105.4700
