Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01520.01","Cassava, fresh","2008","2008","7021","Annual value","SLC","2200000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01520.01","Cassava, fresh","2009","2009","7021","Annual value","SLC","1555000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01520.01","Cassava, fresh","2010","2010","7021","Annual value","SLC","2209000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01520.01","Cassava, fresh","2011","2011","7021","Annual value","SLC","2560000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01520.01","Cassava, fresh","2012","2012","7021","Annual value","SLC","2593000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01520.01","Cassava, fresh","2013","2013","7021","Annual value","SLC","2778000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01520.01","Cassava, fresh","2014","2014","7021","Annual value","SLC","2908000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01520.01","Cassava, fresh","2015","2015","7021","Annual value","SLC","2903000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01520.01","Cassava, fresh","2016","2016","7021","Annual value","SLC","4183000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01520.01","Cassava, fresh","2017","2017","7021","Annual value","SLC","4401000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01520.01","Cassava, fresh","2018","2018","7021","Annual value","SLC","4840706","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01520.01","Cassava, fresh","2019","2019","7021","Annual value","SLC","5180589.4","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01520.01","Cassava, fresh","2020","2020","7021","Annual value","SLC","5440003.5","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01520.01","Cassava, fresh","2021","2021","7021","Annual value","SLC","6679241.6","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01520.01","Cassava, fresh","2022","2022","7021","Annual value","SLC","5970343.5","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01520.01","Cassava, fresh","2023","2023","7021","Annual value","SLC","6392928.5","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0142","Groundnuts, excluding shelled","2008","2008","7021","Annual value","","","",""
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0142","Groundnuts, excluding shelled","2009","2009","7021","Annual value","","","",""
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0142","Groundnuts, excluding shelled","2010","2010","7021","Annual value","","","",""
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0142","Groundnuts, excluding shelled","2011","2011","7021","Annual value","","","",""
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0142","Groundnuts, excluding shelled","2012","2012","7021","Annual value","","","",""
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0142","Groundnuts, excluding shelled","2013","2013","7021","Annual value","SLC","22412000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0142","Groundnuts, excluding shelled","2014","2014","7021","Annual value","SLC","22134000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0142","Groundnuts, excluding shelled","2015","2015","7021","Annual value","SLC","22791000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0142","Groundnuts, excluding shelled","2016","2016","7021","Annual value","SLC","24711000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0142","Groundnuts, excluding shelled","2017","2017","7021","Annual value","SLC","25013000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0142","Groundnuts, excluding shelled","2018","2018","7021","Annual value","SLC","24624474","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0142","Groundnuts, excluding shelled","2019","2019","7021","Annual value","SLC","25429135.4","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0142","Groundnuts, excluding shelled","2020","2020","7021","Annual value","SLC","26952852.7","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0142","Groundnuts, excluding shelled","2021","2021","7021","Annual value","SLC","27224013.5","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0142","Groundnuts, excluding shelled","2022","2022","7021","Annual value","SLC","28860803.7","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0142","Groundnuts, excluding shelled","2023","2023","7021","Annual value","SLC","30218296.8","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2008","2008","7021","Annual value","SLC","4096000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2009","2009","7021","Annual value","SLC","4097000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2010","2010","7021","Annual value","SLC","4933000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2011","2011","7021","Annual value","SLC","6176000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2012","2012","7021","Annual value","SLC","6663000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2013","2013","7021","Annual value","SLC","6822000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2014","2014","7021","Annual value","SLC","7262000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2015","2015","7021","Annual value","SLC","7149000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2016","2016","7021","Annual value","SLC","6093000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2017","2017","7021","Annual value","SLC","6014000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2018","2018","7021","Annual value","SLC","6051780","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2019","2019","7021","Annual value","SLC","6198258.7","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2020","2020","7021","Annual value","SLC","6451347.9","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2021","2021","7021","Annual value","SLC","9488651.4","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2022","2022","7021","Annual value","SLC","5771808.2","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","0112","Maize (corn)","2023","2023","7021","Annual value","SLC","6408835.6","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2008","2008","7021","Annual value","SLC","8063000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2009","2009","7021","Annual value","SLC","9072000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2010","2010","7021","Annual value","SLC","13644000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2011","2011","7021","Annual value","SLC","16208000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2012","2012","7021","Annual value","SLC","15496500","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2013","2013","7021","Annual value","SLC","16874000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2014","2014","7021","Annual value","SLC","19228000","A","Official figure"
"PP","Producer Prices","704","Viet Nam","5531","Producer Price (SLC/tonne)","01323","Oranges","2015","2015","7021","Annual value","SLC","20587000","A","Official figure"
