Elevation,Landcover,Lat,Lon,Ndvi_mean,Province,Soil_clay,Soil_ph,Soil_sand,Soil_soc
21.0,50,21.0285,105.8542,0.2404130813953488,Hà Nội,31,5.7,40,0.8
33.0,10,21.3614,105.5401,0.4950447674418605,Vĩnh Phúc,28,5.7,43,0.4
6.0,50,21.1212,106.088,0.3873540697674418,Bắc Ninh,25,5.5,45,0.6
274.0,10,21.1935,107.2,0.6572186046511628,Quảng Ninh,37,5.4,37,0.4
8.0,50,20.9405,106.333,0.2669593023255814,Hải Dương,26,6.2,42,0.6
9.0,50,20.8449,106.6881,0.2207930232558139,Hải Phòng,28,5.9,39,0.2
10.0,50,20.6464,106.0511,0.337490988372093,Hưng Yên,28,5.2,42,0.4
6.0,50,20.4463,106.3364,0.2566389534883721,Thái Bình,27,5.6,42,0.2
6.0,50,20.5451,105.9135,0.2984313953488372,Hà Nam,25,5.4,42,0.4
7.0,50,20.423,106.168,0.2832575581395349,Nam Định,30,5.9,43,0.2
7.0,50,20.252,105.975,0.2851938953488372,Ninh Bình,28,5.9,42,0.2
104.0,10,22.8233,104.9836,0.4433026162790697,Hà Giang,32,6.1,33,0.6
196.0,50,22.6662,106.257,0.4415334302325581,Cao Bằng,30,6.0,34,0.4
248.0,10,22.2572,105.8589,0.6697401162790698,Bắc Kạn,33,6.1,34,0.4
42.0,50,21.8235,105.2131,0.370853488372093,Tuyên Quang,31,6.5,32,0.4
84.0,50,22.4856,103.9707,0.4025273255813953,Lào Cai,32,6.6,34,0.4
41.0,50,21.7229,104.9113,0.3331296511627907,Yên Bái,32,5.8,36,0.4
31.0,50,21.5939,105.8482,0.3295308139534884,Thái Nguyên,32,6.1,41,0.2
265.0,50,21.853,106.762,0.2780122093023255,Lạng Sơn,35,6.4,35,0.2
14.0,50,21.2731,106.1946,0.2863296511627907,Bắc Giang,24,6.1,45,0.2
23.0,40,21.3232,105.213,0.3124348837209302,Phú Thọ,28,6.2,39,0.6
498.0,10,21.3833,103.0167,0.4917087209302325,Điện Biên,35,5.9,38,0.4
950.0,60,22.3934,103.4712,0.4966909883720931,Lai Châu,38,5.9,33,0.6
607.0,50,21.3289,103.9123,0.5008927325581395,Sơn La,36,6.0,36,0.4
28.0,50,20.8172,105.3376,0.2956313953488372,Hòa Bình,32,6.1,37,0.6
11.0,50,19.8067,105.7767,0.2927501449275362,Thanh Hóa,27,6.2,40,0.2
9.0,50,18.6667,105.6667,0.3236889855072464,Nghệ An,31,5.3,39,0.2
8.0,50,18.344,105.903,0.3118736231884058,Hà Tĩnh,31,5.5,39,0.6
10.0,50,17.4833,106.6,0.3955936231884058,Quảng Bình,33,6.1,41,1.0
1.0,80,16.75,107.1833,0.3368617391304347,Quảng Trị,28,5.4,41,0.6
10.0,50,16.4637,107.5908,0.2893765217391304,Thừa Thiên Huế,32,5.8,38,0.6
9.0,50,16.0544,108.2022,0.2572008695652174,Đà Nẵng,32,7.2,40,0.2
10.0,50,15.5667,108.4833,0.3477252173913043,Quảng Nam,31,6.1,38,0.8
10.0,50,15.12,108.8,0.3424921739130435,Quảng Ngãi,32,6.0,42,0.4
